Year,Units,timeseries,Value
2010,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,4659.4
2011,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,3765.5
2012,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,3723.5
2013,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,4928.4
2014,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,7408.7
2015,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,6401.3
2016,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,6683.1
2017,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,6088.5
2018,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,7322.3
2019,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,8248.0
2020,"mn usd, constant prices (2020)",oda and oof (commitments) for aid for trade,8926.9
2010,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,3411.2
2011,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,3132.0
2012,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,2821.4
2013,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,3533.5
2014,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,4424.3
2015,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,5708.3
2016,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,5110.8
2017,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,4833.5
2018,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,5893.8
2019,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,6310.1
2020,"mn usd, constant prices (2020)",oda and oof (gross disbursement) for aid for trade,6792.7
2010,mn eur,oda and oof (commitments) for aid for trade,3464.1
2011,mn eur,oda and oof (commitments) for aid for trade,2829.9
2012,mn eur,oda and oof (commitments) for aid for trade,2840.0
2013,mn eur,oda and oof (commitments) for aid for trade,3832.7
2014,mn eur,oda and oof (commitments) for aid for trade,5869.4
2015,mn eur,oda and oof (commitments) for aid for trade,5165.5
2016,mn eur,oda and oof (commitments) for aid for trade,5464.6
2017,mn eur,oda and oof (commitments) for aid for trade,5053.4
2018,mn eur,oda and oof (commitments) for aid for trade,6197.4
2019,mn eur,oda and oof (commitments) for aid for trade,7124.6
2020,mn eur,oda and oof (commitments) for aid for trade,7833.3
2010,mn eur,oda and oof (gross disbursement) for aid for trade,2536.1
2011,mn eur,oda and oof (gross disbursement) for aid for trade,2353.7
2012,mn eur,oda and oof (gross disbursement) for aid for trade,2151.9
2013,mn eur,oda and oof (gross disbursement) for aid for trade,2748.0
2014,mn eur,oda and oof (gross disbursement) for aid for trade,3505.1
2015,mn eur,oda and oof (gross disbursement) for aid for trade,4606.3
2016,mn eur,oda and oof (gross disbursement) for aid for trade,4179.0
2017,mn eur,oda and oof (gross disbursement) for aid for trade,4011.8
2018,mn eur,oda and oof (gross disbursement) for aid for trade,4988.4
2019,mn eur,oda and oof (gross disbursement) for aid for trade,5450.6
2020,mn eur,oda and oof (gross disbursement) for aid for trade,5960.6
