Year,timeseries,Value
2010,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",649.8
2011,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",794.7
2012,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",653.3
2013,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",719.9
2014,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",983.7
2015,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",844.6
2016,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",843.7
2017,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",907.1
2018,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",1023.3
2019,"oda (gross disbursements) for water and sanitation (mn usd, constant prices (2016))",896.2
2010,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",48.6
2011,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",95.1
2012,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",59.8
2013,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",82.9
2014,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",81.7
2015,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",97.7
2016,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",101.1
2017,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",66.4
2018,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",67.6
2019,"oda (gross disbursements) for other related water and sanitation purposes (mn usd, constant prices (2016))",69.5
