Year,Units,timeseries,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,victims of non-sexual harassment,21 to under 60 years,female,,,,18342.0
2011,number,victims of non-sexual harassment,21 to under 60 years,female,,,,17238.0
2012,number,victims of non-sexual harassment,21 to under 60 years,female,,,,17207.0
2013,number,victims of non-sexual harassment,21 to under 60 years,female,,,,16679.0
2014,number,victims of non-sexual harassment,21 to under 60 years,female,,,,15118.0
2015,number,victims of non-sexual harassment,21 to under 60 years,female,,,,13916.0
2016,number,victims of non-sexual harassment,21 to under 60 years,female,,,,13260.0
2017,number,victims of non-sexual harassment,21 to under 60 years,female,r,,,13064.0
2018,number,victims of non-sexual harassment,21 to under 60 years,female,r,,,13403.0
2019,number,victims of non-sexual harassment,21 to under 60 years,female,r,,,13504.0
2020,number,victims of non-sexual harassment,21 to under 60 years,female,r,,,14027.0
2021,number,victims of non-sexual harassment,21 to under 60 years,female,r,,,14625.0
2022,number,victims of non-sexual harassment,21 to under 60 years,female,r,,,15432.0
2023,number,victims of non-sexual harassment,21 to under 60 years,female,r,,,16583.0
2024,number,victims of non-sexual harassment,21 to under 60 years,female,,,,17639.0
2010,number,victims of non-sexual harassment,21 to under 60 years,male,,,,4677.0
2011,number,victims of non-sexual harassment,21 to under 60 years,male,,,,4298.0
2012,number,victims of non-sexual harassment,21 to under 60 years,male,,,,4089.0
2013,number,victims of non-sexual harassment,21 to under 60 years,male,,,,4059.0
2014,number,victims of non-sexual harassment,21 to under 60 years,male,,,,3696.0
2015,number,victims of non-sexual harassment,21 to under 60 years,male,,,,3323.0
2016,number,victims of non-sexual harassment,21 to under 60 years,male,,,,3043.0
2017,number,victims of non-sexual harassment,21 to under 60 years,male,r,,,2996.0
2018,number,victims of non-sexual harassment,21 to under 60 years,male,r,,,3020.0
2019,number,victims of non-sexual harassment,21 to under 60 years,male,r,,,2936.0
2020,number,victims of non-sexual harassment,21 to under 60 years,male,r,,,3166.0
2021,number,victims of non-sexual harassment,21 to under 60 years,male,r,,,3443.0
2022,number,victims of non-sexual harassment,21 to under 60 years,male,r,,,3493.0
2023,number,victims of non-sexual harassment,21 to under 60 years,male,r,,,3870.0
2024,number,victims of non-sexual harassment,21 to under 60 years,male,,,,4000.0
2010,number,victims of non-sexual harassment,60 years and older,,,,,1652.0
2011,number,victims of non-sexual harassment,60 years and older,,,,,1495.0
2012,number,victims of non-sexual harassment,60 years and older,,,,,1495.0
2013,number,victims of non-sexual harassment,60 years and older,,,,,1440.0
2014,number,victims of non-sexual harassment,60 years and older,,,,,1395.0
2015,number,victims of non-sexual harassment,60 years and older,,,,,1269.0
2016,number,victims of non-sexual harassment,60 years and older,,,,,1251.0
2017,number,victims of non-sexual harassment,60 years and older,,r,,,1183.0
2018,number,victims of non-sexual harassment,60 years and older,,r,,,1251.0
2019,number,victims of non-sexual harassment,60 years and older,,r,,,1266.0
2020,number,victims of non-sexual harassment,60 years and older,,r,,,1288.0
2021,number,victims of non-sexual harassment,60 years and older,,r,,,1423.0
2022,number,victims of non-sexual harassment,60 years and older,,r,,,1554.0
2023,number,victims of non-sexual harassment,60 years and older,,r,,,1757.0
2024,number,victims of non-sexual harassment,60 years and older,,,,,1771.0
2010,number,victims of non-sexual harassment,60 years and older,female,,,,978.0
2011,number,victims of non-sexual harassment,60 years and older,female,,,,880.0
2012,number,victims of non-sexual harassment,60 years and older,female,,,,905.0
2013,number,victims of non-sexual harassment,60 years and older,female,,,,902.0
2014,number,victims of non-sexual harassment,60 years and older,female,,,,884.0
2015,number,victims of non-sexual harassment,60 years and older,female,,,,823.0
2016,number,victims of non-sexual harassment,60 years and older,female,,,,788.0
2017,number,victims of non-sexual harassment,60 years and older,female,r,,,791.0
2018,number,victims of non-sexual harassment,60 years and older,female,r,,,792.0
2019,number,victims of non-sexual harassment,60 years and older,female,r,,,834.0
2020,number,victims of non-sexual harassment,60 years and older,female,r,,,845.0
2021,number,victims of non-sexual harassment,60 years and older,female,r,,,906.0
2022,number,victims of non-sexual harassment,60 years and older,female,r,,,1023.0
2023,number,victims of non-sexual harassment,60 years and older,female,r,,,1144.0
2024,number,victims of non-sexual harassment,60 years and older,female,,,,1131.0
2010,number,victims of non-sexual harassment,60 years and older,male,,,,674.0
2011,number,victims of non-sexual harassment,60 years and older,male,,,,615.0
2012,number,victims of non-sexual harassment,60 years and older,male,,,,590.0
2013,number,victims of non-sexual harassment,60 years and older,male,,,,538.0
2014,number,victims of non-sexual harassment,60 years and older,male,,,,511.0
2015,number,victims of non-sexual harassment,60 years and older,male,,,,446.0
2016,number,victims of non-sexual harassment,60 years and older,male,,,,463.0
2017,number,victims of non-sexual harassment,60 years and older,male,r,,,392.0
2018,number,victims of non-sexual harassment,60 years and older,male,r,,,459.0
2019,number,victims of non-sexual harassment,60 years and older,male,r,,,432.0
2020,number,victims of non-sexual harassment,60 years and older,male,r,,,443.0
2021,number,victims of non-sexual harassment,60 years and older,male,r,,,517.0
2022,number,victims of non-sexual harassment,60 years and older,male,r,,,531.0
2023,number,victims of non-sexual harassment,60 years and older,male,r,,,613.0
2024,number,victims of non-sexual harassment,60 years and older,male,,,,640.0
2010,number,victims of sexual harassment,,,,,,7523.0
2011,number,victims of sexual harassment,,,,,,8011.0
2012,number,victims of sexual harassment,,,,,,8306.0
2013,number,victims of sexual harassment,,,,,,8161.0
2014,number,victims of sexual harassment,,,,,,8356.0
2015,number,victims of sexual harassment,,,,,,8262.0
2016,number,victims of sexual harassment,,,,,,8599.0
2017,number,victims of sexual harassment,,,r,,,8350.0
2018,number,victims of sexual harassment,,,r,,,8817.0
2019,number,victims of sexual harassment,,,r,,,8031.0
2020,number,victims of sexual harassment,,,r,,,9319.0
2021,number,victims of sexual harassment,,,|,r,,9035.0
2022,number,victims of sexual harassment,,,r,,,9640.0
2023,number,victims of sexual harassment,,,r,,,10166.0
2024,number,victims of sexual harassment,,,,,,10773.0
2010,number,victims of sexual harassment,,female,,,,6624.0
2011,number,victims of sexual harassment,,female,,,,7050.0
2012,number,victims of sexual harassment,,female,,,,7400.0
2013,number,victims of sexual harassment,,female,,,,7269.0
2014,number,victims of sexual harassment,,female,,,,7381.0
2015,number,victims of sexual harassment,,female,,,,7296.0
2016,number,victims of sexual harassment,,female,,,,7525.0
2017,number,victims of sexual harassment,,female,r,,,7273.0
2018,number,victims of sexual harassment,,female,r,,,7628.0
2019,number,victims of sexual harassment,,female,r,,,6840.0
2020,number,victims of sexual harassment,,female,r,,,7967.0
2021,number,victims of sexual harassment,,female,|,r,,7673.0
2022,number,victims of sexual harassment,,female,r,,,8152.0
2023,number,victims of sexual harassment,,female,r,,,8451.0
2024,number,victims of sexual harassment,,female,,,,8839.0
2010,number,victims of sexual harassment,,male,,,,899.0
2011,number,victims of sexual harassment,,male,,,,961.0
2012,number,victims of sexual harassment,,male,,,,906.0
2013,number,victims of sexual harassment,,male,,,,892.0
2014,number,victims of sexual harassment,,male,,,,975.0
2015,number,victims of sexual harassment,,male,,,,966.0
2016,number,victims of sexual harassment,,male,,,,1074.0
2017,number,victims of sexual harassment,,male,r,,,1077.0
2018,number,victims of sexual harassment,,male,r,,,1189.0
2019,number,victims of sexual harassment,,male,r,,,1191.0
2020,number,victims of sexual harassment,,male,r,,,1352.0
2021,number,victims of sexual harassment,,male,|,r,,1362.0
2022,number,victims of sexual harassment,,male,r,,,1488.0
2023,number,victims of sexual harassment,,male,r,,,1715.0
2024,number,victims of sexual harassment,,male,,,,1934.0
2010,number,victims of sexual harassment,13 years and younger,,,,,0.0
2011,number,victims of sexual harassment,13 years and younger,,,,,0.0
2012,number,victims of sexual harassment,13 years and younger,,,,,0.0
2013,number,victims of sexual harassment,13 years and younger,,,,,0.0
2014,number,victims of sexual harassment,13 years and younger,,,,,0.0
2015,number,victims of sexual harassment,13 years and younger,,,,,0.0
2016,number,victims of sexual harassment,13 years and younger,,,,,0.0
2017,number,victims of sexual harassment,13 years and younger,,r,,,0.0
2018,number,victims of sexual harassment,13 years and younger,,r,,,0.0
2019,number,victims of sexual harassment,13 years and younger,,r,,,0.0
2020,number,victims of sexual harassment,13 years and younger,,r,,,0.0
2021,number,victims of sexual harassment,13 years and younger,,|,r,,47.0
2022,number,victims of sexual harassment,13 years and younger,,r,,,144.0
2023,number,victims of sexual harassment,13 years and younger,,r,,,130.0
2024,number,victims of sexual harassment,13 years and younger,,,,,140.0
2010,number,victims of sexual harassment,13 years and younger,female,,,,0.0
2011,number,victims of sexual harassment,13 years and younger,female,,,,0.0
2012,number,victims of sexual harassment,13 years and younger,female,,,,0.0
2013,number,victims of sexual harassment,13 years and younger,female,,,,0.0
2014,number,victims of sexual harassment,13 years and younger,female,,,,0.0
2015,number,victims of sexual harassment,13 years and younger,female,,,,0.0
2016,number,victims of sexual harassment,13 years and younger,female,,,,0.0
2017,number,victims of sexual harassment,13 years and younger,female,r,,,0.0
2018,number,victims of sexual harassment,13 years and younger,female,r,,,0.0
2019,number,victims of sexual harassment,13 years and younger,female,r,,,0.0
2020,number,victims of sexual harassment,13 years and younger,female,r,,,0.0
2021,number,victims of sexual harassment,13 years and younger,female,|,r,,32.0
2022,number,victims of sexual harassment,13 years and younger,female,r,,,118.0
2023,number,victims of sexual harassment,13 years and younger,female,r,,,107.0
2024,number,victims of sexual harassment,13 years and younger,female,,,,91.0
2010,number,victims of sexual harassment,13 years and younger,male,,,,0.0
2011,number,victims of sexual harassment,13 years and younger,male,,,,0.0
2012,number,victims of sexual harassment,13 years and younger,male,,,,0.0
2013,number,victims of sexual harassment,13 years and younger,male,,,,0.0
2014,number,victims of sexual harassment,13 years and younger,male,,,,0.0
2015,number,victims of sexual harassment,13 years and younger,male,,,,0.0
2016,number,victims of sexual harassment,13 years and younger,male,,,,0.0
2017,number,victims of sexual harassment,13 years and younger,male,r,,,0.0
2018,number,victims of sexual harassment,13 years and younger,male,r,,,0.0
2019,number,victims of sexual harassment,13 years and younger,male,r,,,0.0
2020,number,victims of sexual harassment,13 years and younger,male,r,,,0.0
2021,number,victims of sexual harassment,13 years and younger,male,|,r,,15.0
2022,number,victims of sexual harassment,13 years and younger,male,r,,,26.0
2023,number,victims of sexual harassment,13 years and younger,male,r,,,23.0
2024,number,victims of sexual harassment,13 years and younger,male,,,,49.0
2010,number,victims of sexual harassment,14 to under 18 years,,,,,1267.0
2011,number,victims of sexual harassment,14 to under 18 years,,,,,1362.0
2012,number,victims of sexual harassment,14 to under 18 years,,,,,1356.0
2013,number,victims of sexual harassment,14 to under 18 years,,,,,1384.0
2014,number,victims of sexual harassment,14 to under 18 years,,,,,1368.0
2015,number,victims of sexual harassment,14 to under 18 years,,,,,1245.0
2016,number,victims of sexual harassment,14 to under 18 years,,,,,1149.0
2017,number,victims of sexual harassment,14 to under 18 years,,r,,,1104.0
2018,number,victims of sexual harassment,14 to under 18 years,,r,,,1110.0
2019,number,victims of sexual harassment,14 to under 18 years,,r,,,931.0
2020,number,victims of sexual harassment,14 to under 18 years,,r,,,1067.0
2021,number,victims of sexual harassment,14 to under 18 years,,|,r,,1070.0
2022,number,victims of sexual harassment,14 to under 18 years,,r,,,1243.0
2023,number,victims of sexual harassment,14 to under 18 years,,r,,,1208.0
2024,number,victims of sexual harassment,14 to under 18 years,,,,,1367.0
2010,number,victims of sexual harassment,14 to under 18 years,female,,,,1112.0
2011,number,victims of sexual harassment,14 to under 18 years,female,,,,1217.0
2012,number,victims of sexual harassment,14 to under 18 years,female,,,,1221.0
2013,number,victims of sexual harassment,14 to under 18 years,female,,,,1235.0
2014,number,victims of sexual harassment,14 to under 18 years,female,,,,1228.0
2015,number,victims of sexual harassment,14 to under 18 years,female,,,,1151.0
2016,number,victims of sexual harassment,14 to under 18 years,female,,,,1024.0
2017,number,victims of sexual harassment,14 to under 18 years,female,r,,,955.0
2018,number,victims of sexual harassment,14 to under 18 years,female,r,,,958.0
2019,number,victims of sexual harassment,14 to under 18 years,female,r,,,811.0
2020,number,victims of sexual harassment,14 to under 18 years,female,r,,,928.0
2021,number,victims of sexual harassment,14 to under 18 years,female,|,r,,936.0
2022,number,victims of sexual harassment,14 to under 18 years,female,r,,,1076.0
2023,number,victims of sexual harassment,14 to under 18 years,female,r,,,1022.0
2024,number,victims of sexual harassment,14 to under 18 years,female,,,,1152.0
2010,number,victims of sexual harassment,14 to under 18 years,male,,,,155.0
2011,number,victims of sexual harassment,14 to under 18 years,male,,,,145.0
2012,number,victims of sexual harassment,14 to under 18 years,male,,,,135.0
2013,number,victims of sexual harassment,14 to under 18 years,male,,,,149.0
2014,number,victims of sexual harassment,14 to under 18 years,male,,,,140.0
2015,number,victims of sexual harassment,14 to under 18 years,male,,,,94.0
2016,number,victims of sexual harassment,14 to under 18 years,male,,,,125.0
2017,number,victims of sexual harassment,14 to under 18 years,male,r,,,149.0
2018,number,victims of sexual harassment,14 to under 18 years,male,r,,,152.0
2019,number,victims of sexual harassment,14 to under 18 years,male,r,,,120.0
2020,number,victims of sexual harassment,14 to under 18 years,male,r,,,139.0
2021,number,victims of sexual harassment,14 to under 18 years,male,|,r,,134.0
2022,number,victims of sexual harassment,14 to under 18 years,male,r,,,167.0
2023,number,victims of sexual harassment,14 to under 18 years,male,r,,,186.0
2024,number,victims of sexual harassment,14 to under 18 years,male,,,,215.0
2010,number,victims of sexual harassment,18 to under 21 years,,,,,796.0
2011,number,victims of sexual harassment,18 to under 21 years,,,,,811.0
2012,number,victims of sexual harassment,18 to under 21 years,,,,,808.0
2013,number,victims of sexual harassment,18 to under 21 years,,,,,752.0
2014,number,victims of sexual harassment,18 to under 21 years,,,,,809.0
2015,number,victims of sexual harassment,18 to under 21 years,,,,,803.0
2016,number,victims of sexual harassment,18 to under 21 years,,,,,776.0
2017,number,victims of sexual harassment,18 to under 21 years,,r,,,931.0
2018,number,victims of sexual harassment,18 to under 21 years,,r,,,878.0
2019,number,victims of sexual harassment,18 to under 21 years,,r,,,725.0
2020,number,victims of sexual harassment,18 to under 21 years,,r,,,969.0
2021,number,victims of sexual harassment,18 to under 21 years,,|,r,,883.0
2022,number,victims of sexual harassment,18 to under 21 years,,r,,,925.0
2023,number,victims of sexual harassment,18 to under 21 years,,r,,,934.0
2024,number,victims of sexual harassment,18 to under 21 years,,,,,1040.0
2010,number,victims of sexual harassment,18 to under 21 years,female,,,,728.0
2011,number,victims of sexual harassment,18 to under 21 years,female,,,,747.0
2012,number,victims of sexual harassment,18 to under 21 years,female,,,,752.0
2013,number,victims of sexual harassment,18 to under 21 years,female,,,,694.0
2014,number,victims of sexual harassment,18 to under 21 years,female,,,,754.0
2015,number,victims of sexual harassment,18 to under 21 years,female,,,,740.0
2016,number,victims of sexual harassment,18 to under 21 years,female,,,,702.0
