Year,Units,timeseries,presentation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,no unit,ratio of land consumption rate to population growth rate,annual values,,,,0.6
2011,no unit,ratio of land consumption rate to population growth rate,annual values,,,,0.1
2012,no unit,ratio of land consumption rate to population growth rate,annual values,,,,0.1
2013,no unit,ratio of land consumption rate to population growth rate,annual values,0,,,0.0
2014,no unit,ratio of land consumption rate to population growth rate,annual values,0,,,0.0
2015,no unit,ratio of land consumption rate to population growth rate,annual values,0,,,0.0
2016,no unit,ratio of land consumption rate to population growth rate,annual values,0,,,0.0
2017,no unit,ratio of land consumption rate to population growth rate,annual values,0,,,0.0
2018,no unit,ratio of land consumption rate to population growth rate,annual values,0,,,0.0
2019,no unit,ratio of land consumption rate to population growth rate,annual values,0,,,0.0
2020,no unit,ratio of land consumption rate to population growth rate,annual values,0,|,,0.0
2021,no unit,ratio of land consumption rate to population growth rate,annual values,.,,,
2022,no unit,ratio of land consumption rate to population growth rate,annual values,.,,,
2023,no unit,ratio of land consumption rate to population growth rate,annual values,.,,,
2010,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,1.6
2011,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,0.9
2012,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,0.9
2013,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,0.1
2014,2015 = 100,proportion of settlement and transport areas to population,annual values,0,,,0.0
2015,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,0.1
2016,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,0.1
2017,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,0.1
2018,2015 = 100,proportion of settlement and transport areas to population,annual values,0,,,0.0
2019,2015 = 100,proportion of settlement and transport areas to population,annual values,,,,0.2
2020,2015 = 100,proportion of settlement and transport areas to population,annual values,|,,,0.0
2021,2015 = 100,proportion of settlement and transport areas to population,annual values,.,,,
2022,2015 = 100,proportion of settlement and transport areas to population,annual values,.,,,
2023,2015 = 100,proportion of settlement and transport areas to population,annual values,.,,,
2010,percentage,land consumption rate,annual values,,,,1.7
2011,percentage,land consumption rate,annual values,,,,0.9
2012,percentage,land consumption rate,annual values,,,,1.0
2013,percentage,land consumption rate,annual values,,,,0.2
2014,percentage,land consumption rate,annual values,0,,,0.0
2015,percentage,land consumption rate,annual values,,,,0.1
2016,percentage,land consumption rate,annual values,,,,0.1
2017,percentage,land consumption rate,annual values,,,,0.1
2018,percentage,land consumption rate,annual values,,,,0.1
2019,percentage,land consumption rate,annual values,,,,0.2
2020,percentage,land consumption rate,annual values,|,,,0.0
2021,percentage,land consumption rate,annual values,.,,,
2022,percentage,land consumption rate,annual values,.,,,
2023,percentage,land consumption rate,annual values,.,,,
2010,percentage,population growth rate,annual values,,,,1.6
2011,percentage,population growth rate,annual values,,,,0.8
2012,percentage,population growth rate,annual values,,,,0.9
2013,percentage,population growth rate,annual values,,,,0.1
2014,percentage,population growth rate,annual values,0,,,0.0
2015,percentage,population growth rate,annual values,,,,0.1
2016,percentage,population growth rate,annual values,,,,0.1
2017,percentage,population growth rate,annual values,,,,0.1
2018,percentage,population growth rate,annual values,0,,,0.0
2019,percentage,population growth rate,annual values,,,,0.3
2020,percentage,population growth rate,annual values,|,,,0.0
2021,percentage,population growth rate,annual values,.,,,
2022,percentage,population growth rate,annual values,.,,,
2023,percentage,population growth rate,annual values,.,,,
2010,no unit,ratio of land consumption rate to population growth rate,moving four-year average,,,,4.2
2011,no unit,ratio of land consumption rate to population growth rate,moving four-year average,,,,4.1
