Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2011,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2012,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2013,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2014,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2015,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2016,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2017,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2018,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2019,percentage,…,,,manufacturing gross value added as a proportion of gdp,
2020,percentage,,,,manufacturing gross value added as a proportion of gdp,289724.0
2021,percentage,,,,manufacturing gross value added as a proportion of gdp,345255.0
2022,percentage,,,,manufacturing gross value added as a proportion of gdp,353567.0
2023,percentage,,,,manufacturing gross value added as a proportion of gdp,353567.0
2010,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2011,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2012,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2013,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2014,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2015,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2016,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2017,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2018,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2019,percentage,…,,,manufacturing gross value added as a proportion of total gross value added,
2020,percentage,,,,manufacturing gross value added as a proportion of total gross value added,270579.0
2021,percentage,,,,manufacturing gross value added as a proportion of total gross value added,406427.0
2022,percentage,,,,manufacturing gross value added as a proportion of total gross value added,377342.0
2023,percentage,,,,manufacturing gross value added as a proportion of total gross value added,374218.0
2010,eur,…,,,manufacturing gross value added per capita,
2011,eur,…,,,manufacturing gross value added per capita,
2012,eur,…,,,manufacturing gross value added per capita,
2013,eur,…,,,manufacturing gross value added per capita,
2014,eur,…,,,manufacturing gross value added per capita,
2015,eur,…,,,manufacturing gross value added per capita,
2016,eur,…,,,manufacturing gross value added per capita,
2017,eur,…,,,manufacturing gross value added per capita,
2018,eur,…,,,manufacturing gross value added per capita,
2019,eur,…,,,manufacturing gross value added per capita,
2020,eur,,,,manufacturing gross value added per capita,743998.0
2021,eur,,,,manufacturing gross value added per capita,1072961.0
2022,eur,,,,manufacturing gross value added per capita,925027.0
2023,eur,,,,manufacturing gross value added per capita,932114.0
