Year,Units,age group,sex,form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,"per 100,000 inhabitants",,,,.,,,
2020,"per 100,000 inhabitants",,,,,,,71.0
2021,"per 100,000 inhabitants",,,,…,,,
2019,"per 100,000 inhabitants",,,labour exploitation,.,,,
2020,"per 100,000 inhabitants",,,labour exploitation,,,,25.4
2021,"per 100,000 inhabitants",,,labour exploitation,…,,,
2019,"per 100,000 inhabitants",,,sexual exploitation,.,,,
2020,"per 100,000 inhabitants",,,sexual exploitation,,,,3.4
2021,"per 100,000 inhabitants",,,sexual exploitation,…,,,
2019,number,,,,.,,,
2020,number,,,,,,,0.2
2021,number,,,,…,,,
2019,number,,,labour exploitation,.,,,
2020,number,,,labour exploitation,,,,70.7
2021,number,,,labour exploitation,…,,,
2019,number,,,sexual exploitation,.,,,
2020,number,,,sexual exploitation,,,,27.6
2021,number,,,sexual exploitation,…,,,
2019,number,13 years and younger,,sexual exploitation,.,,,
2020,number,13 years and younger,,sexual exploitation,,,,1.6
2021,number,13 years and younger,,sexual exploitation,…,,,
2019,number,14 to under 18 years,,sexual exploitation,.,,,
2020,number,14 to under 18 years,,sexual exploitation,,,,0.1
2021,number,14 to under 18 years,,sexual exploitation,…,,,
2019,number,18 to under 21 years,,sexual exploitation,.,,,
2020,number,18 to under 21 years,,sexual exploitation,,,,67.2
2021,number,18 to under 21 years,,sexual exploitation,…,,,
2019,number,21 to under 25 years,,sexual exploitation,.,,,
2020,number,21 to under 25 years,,sexual exploitation,,,,30.6
2021,number,21 to under 25 years,,sexual exploitation,…,,,
2019,number,25 years and older,,sexual exploitation,.,,,
2020,number,25 years and older,,sexual exploitation,,,,2.0
2021,number,25 years and older,,sexual exploitation,…,,,
2019,number,unknown age,,sexual exploitation,.,,,
2020,number,unknown age,,sexual exploitation,,,,0.1
2021,number,unknown age,,sexual exploitation,…,,,
2019,number,,female,labour exploitation,.,,,
2020,number,,female,labour exploitation,,,,61.0
2021,number,,female,labour exploitation,…,,,
2019,number,,male,labour exploitation,.,,,
2020,number,,male,labour exploitation,,,,36.4
2021,number,,male,labour exploitation,…,,,
2019,number,,unknown,labour exploitation,.,,,
2020,number,,unknown,labour exploitation,,,,2.3
2021,number,,unknown,labour exploitation,…,,,
2019,number,,female,sexual exploitation,.,,,
2020,number,,female,sexual exploitation,,,,0.3
2021,number,,female,sexual exploitation,…,,,
2019,number,,male,sexual exploitation,.,,,
2020,number,,male,sexual exploitation,,,,54.9
2021,number,,male,sexual exploitation,…,,,
2019,number,,unknown,sexual exploitation,.,,,
2020,number,,unknown,sexual exploitation,,,,43.4
2021,number,,unknown,sexual exploitation,…,,,
