Year,Series,substance,sex,border,Value
inpatient treatment of substance use disorders,a) drugs,,,,37107.0
inpatient treatment of substance use disorders,a) drugs,,,,36848.0
inpatient treatment of substance use disorders,a) drugs,,,,36166.0
inpatient treatment of substance use disorders,a) drugs,,,,40556.0
inpatient treatment of substance use disorders,a) drugs,,,,49795.0
inpatient treatment of substance use disorders,a) drugs,,,,51919.0
inpatient treatment of substance use disorders,a) drugs,,,,52621.0
inpatient treatment of substance use disorders,a) drugs,,,,51806.0
inpatient treatment of substance use disorders,a) drugs,,,,52380.0
inpatient treatment of substance use disorders,a) drugs,,,,53490.0
inpatient treatment of substance use disorders,a) drugs,female,,10451.0,
inpatient treatment of substance use disorders,a) drugs,female,,10607.0,
inpatient treatment of substance use disorders,a) drugs,female,,10600.0,
inpatient treatment of substance use disorders,a) drugs,female,,11290.0,
inpatient treatment of substance use disorders,a) drugs,female,,13280.0,
inpatient treatment of substance use disorders,a) drugs,female,,13230.0,
inpatient treatment of substance use disorders,a) drugs,female,,13303.0,
inpatient treatment of substance use disorders,a) drugs,female,,12881.0,
inpatient treatment of substance use disorders,a) drugs,female,,12858.0,
inpatient treatment of substance use disorders,a) drugs,female,,12921.0,
inpatient treatment of substance use disorders,a) drugs,male,,26656.0,
inpatient treatment of substance use disorders,a) drugs,male,,26241.0,
inpatient treatment of substance use disorders,a) drugs,male,,25566.0,
inpatient treatment of substance use disorders,a) drugs,male,,29266.0,
inpatient treatment of substance use disorders,a) drugs,male,,36515.0,
inpatient treatment of substance use disorders,a) drugs,male,,38689.0,
inpatient treatment of substance use disorders,a) drugs,male,,39318.0,
inpatient treatment of substance use disorders,a) drugs,male,,38925.0,
inpatient treatment of substance use disorders,a) drugs,male,,39522.0,
inpatient treatment of substance use disorders,a) drugs,male,,40569.0,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,a) drugs,unknown,,,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,191512.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,192159.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,195976.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,194412.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,185305.0,
inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,176185.0,
