Year,Units,type of disease,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,,,,,,12.74
2011,percentage,,,,,,12.41
2012,percentage,,,,,,12.17
2013,percentage,,,,,,12.19
2014,percentage,,,,,,11.72
2015,percentage,,,,,,11.93
2016,percentage,,,,,,11.73
2017,percentage,,,,,,11.43
2018,percentage,,,,,,11.43
2019,percentage,,,,,,11.02
2020,percentage,,,,,,10.94
2021,percentage,,,,,,10.85
2022,percentage,,,,,,10.81
2023,percentage,,,,,,10.66
2024,percentage,,,,,,10.45
2010,percentage,(a) diseases of the circulatory system,,,,,4.49
2011,percentage,(a) diseases of the circulatory system,,,,,4.19
2012,percentage,(a) diseases of the circulatory system,,,,,4.15
2013,percentage,(a) diseases of the circulatory system,,,,,4.13
2014,percentage,(a) diseases of the circulatory system,,,,,3.96
2015,percentage,(a) diseases of the circulatory system,,,,,4.08
2016,percentage,(a) diseases of the circulatory system,,,,,3.91
2017,percentage,(a) diseases of the circulatory system,,,,,3.78
2018,percentage,(a) diseases of the circulatory system,,,,,3.8
2019,percentage,(a) diseases of the circulatory system,,,,,3.59
2020,percentage,(a) diseases of the circulatory system,,,,,3.63
2021,percentage,(a) diseases of the circulatory system,,,,,3.71
2022,percentage,(a) diseases of the circulatory system,,,,,3.66
2023,percentage,(a) diseases of the circulatory system,,,,,3.61
2024,percentage,(a) diseases of the circulatory system,,,,,3.49
2010,percentage,(b) malignant neoplasms,,,,,7.6
2011,percentage,(b) malignant neoplasms,,,,,7.53
2012,percentage,(b) malignant neoplasms,,,,,7.35
2013,percentage,(b) malignant neoplasms,,,,,7.3
2014,percentage,(b) malignant neoplasms,,,,,7.04
2015,percentage,(b) malignant neoplasms,,,,,7.04
2016,percentage,(b) malignant neoplasms,,,,,7.02
2017,percentage,(b) malignant neoplasms,,,,,6.78
2018,percentage,(b) malignant neoplasms,,,,,6.75
2019,percentage,(b) malignant neoplasms,,,,,6.57
2020,percentage,(b) malignant neoplasms,,,,,6.47
2021,percentage,(b) malignant neoplasms,,,,,6.31
2022,percentage,(b) malignant neoplasms,,,,,6.23
2023,percentage,(b) malignant neoplasms,,,,,6.1
2024,percentage,(b) malignant neoplasms,,,,,5.99
2010,percentage,(c) diabetes mellitus,,,,,0.35
2011,percentage,(c) diabetes mellitus,,,,,0.35
2012,percentage,(c) diabetes mellitus,,,,,0.35
2013,percentage,(c) diabetes mellitus,,,,,0.36
2014,percentage,(c) diabetes mellitus,,,,,0.33
2015,percentage,(c) diabetes mellitus,,,,,0.35
2016,percentage,(c) diabetes mellitus,,,,,0.34
2017,percentage,(c) diabetes mellitus,,,,,0.36
2018,percentage,(c) diabetes mellitus,,,,,0.35
2019,percentage,(c) diabetes mellitus,,,,,0.34
2020,percentage,(c) diabetes mellitus,,,,,0.35
2021,percentage,(c) diabetes mellitus,,,,,0.35
2022,percentage,(c) diabetes mellitus,,,,,0.34
2023,percentage,(c) diabetes mellitus,,,,,0.34
2024,percentage,(c) diabetes mellitus,,,,,0.35
2010,percentage,(d) chronic respiratory disease,,,,,0.78
2011,percentage,(d) chronic respiratory disease,,,,,0.79
2012,percentage,(d) chronic respiratory disease,,,,,0.75
2013,percentage,(d) chronic respiratory disease,,,,,0.84
2014,percentage,(d) chronic respiratory disease,,,,,0.79
2015,percentage,(d) chronic respiratory disease,,,,,0.88
2016,percentage,(d) chronic respiratory disease,,,,,0.86
2017,percentage,(d) chronic respiratory disease,,,,,0.9
2018,percentage,(d) chronic respiratory disease,,,,,0.92
2019,percentage,(d) chronic respiratory disease,,,,,0.9
2020,percentage,(d) chronic respiratory disease,,,,,0.85
2021,percentage,(d) chronic respiratory disease,,,,,0.83
2022,percentage,(d) chronic respiratory disease,,,,,0.92
2023,percentage,(d) chronic respiratory disease,,,,,0.96
2024,percentage,(d) chronic respiratory disease,,,,,0.96
2010,percentage,,female,,,,9.19
2011,percentage,,female,,,,9.19
2012,percentage,,female,,,,8.94
2013,percentage,,female,,,,9.03
2014,percentage,,female,,,,8.73
2015,percentage,,female,,,,8.86
2016,percentage,,female,,,,8.79
2017,percentage,,female,,,,8.63
2018,percentage,,female,,,,8.67
2019,percentage,,female,,,,8.38
2020,percentage,,female,,,,8.22
2021,percentage,,female,,,,8.15
2022,percentage,,female,,,,8.24
2023,percentage,,female,,,,8.19
2024,percentage,,female,,,,7.97
2010,percentage,(a) diseases of the circulatory system,female,,,,2.39
2011,percentage,(a) diseases of the circulatory system,female,,,,2.32
2012,percentage,(a) diseases of the circulatory system,female,,,,2.26
2013,percentage,(a) diseases of the circulatory system,female,,,,2.3
2014,percentage,(a) diseases of the circulatory system,female,,,,2.23
2015,percentage,(a) diseases of the circulatory system,female,,,,2.26
2016,percentage,(a) diseases of the circulatory system,female,,,,2.16
2017,percentage,(a) diseases of the circulatory system,female,,,,2.05
2018,percentage,(a) diseases of the circulatory system,female,,,,2.11
2019,percentage,(a) diseases of the circulatory system,female,,,,1.96
2020,percentage,(a) diseases of the circulatory system,female,,,,1.95
2021,percentage,(a) diseases of the circulatory system,female,,,,2.02
2022,percentage,(a) diseases of the circulatory system,female,,,,2.02
2023,percentage,(a) diseases of the circulatory system,female,,,,2.0
2024,percentage,(a) diseases of the circulatory system,female,,,,1.92
2010,number,(b) malignant neoplasms,female,,,,6.25
2011,number,(b) malignant neoplasms,female,,,,6.3
2012,number,(b) malignant neoplasms,female,,,,6.13
2013,number,(b) malignant neoplasms,female,,,,6.1
2014,number,(b) malignant neoplasms,female,,,,5.92
2015,number,(b) malignant neoplasms,female,,,,5.94
2016,number,(b) malignant neoplasms,female,,,,5.97
2017,number,(b) malignant neoplasms,female,,,,5.85
2018,number,(b) malignant neoplasms,female,,,,5.82
2019,number,(b) malignant neoplasms,female,,,,5.69
2020,number,(b) malignant neoplasms,female,,,,5.57
2021,number,(b) malignant neoplasms,female,,,,5.46
2022,number,(b) malignant neoplasms,female,,,,5.48
2023,number,(b) malignant neoplasms,female,,,,5.39
2024,number,(b) malignant neoplasms,female,,,,5.27
2010,percentage,(c) diabetes mellitus,female,,,,0.21
2011,percentage,(c) diabetes mellitus,female,,,,0.21
2012,percentage,(c) diabetes mellitus,female,,,,0.21
2013,percentage,(c) diabetes mellitus,female,,,,0.21
2014,percentage,(c) diabetes mellitus,female,,,,0.2
2015,percentage,(c) diabetes mellitus,female,,,,0.2
2016,percentage,(c) diabetes mellitus,female,,,,0.19
2017,percentage,(c) diabetes mellitus,female,,,,0.21
2018,percentage,(c) diabetes mellitus,female,,,,0.21
2019,percentage,(c) diabetes mellitus,female,,,,0.19
2020,percentage,(c) diabetes mellitus,female,,,,0.2
2021,percentage,(c) diabetes mellitus,female,,,,0.21
2022,percentage,(c) diabetes mellitus,female,,,,0.19
2023,percentage,(c) diabetes mellitus,female,,,,0.2
2024,percentage,(c) diabetes mellitus,female,,,,0.18
2010,percentage,(d) chronic respiratory disease,female,,,,0.56
2011,percentage,(d) chronic respiratory disease,female,,,,0.57
2012,percentage,(d) chronic respiratory disease,female,,,,0.54
2013,percentage,(d) chronic respiratory disease,female,,,,0.63
2014,percentage,(d) chronic respiratory disease,female,,,,0.59
2015,percentage,(d) chronic respiratory disease,female,,,,0.66
2016,percentage,(d) chronic respiratory disease,female,,,,0.67
