Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,documents issued for the import and export of protected species,2.4
2011,,,,documents issued for the import and export of protected species,2.35
2012,,,,documents issued for the import and export of protected species,2.51
2013,,,,documents issued for the import and export of protected species,2.74
2014,,,,documents issued for the import and export of protected species,2.87
2015,,,,documents issued for the import and export of protected species,2.69
2016,,,,documents issued for the import and export of protected species,2.87
2017,,,,documents issued for the import and export of protected species,2.85
2018,,,,documents issued for the import and export of protected species,2.84
2019,,,,documents issued for the import and export of protected species,2.53
2020,,,,documents issued for the import and export of protected species,2.37
2021,,,,documents issued for the import and export of protected species,2.58
2022,,,,documents issued for the import and export of protected species,2.3
2023,,,,documents issued for the import and export of protected species,2.54
2024,,,,documents issued for the import and export of protected species,2.4
2020,.,,,seizures by customs authorities concerning the protection of species,
2021,,,,seizures by customs authorities concerning the protection of species,100.0
2022,.,,,seizures by customs authorities concerning the protection of species,
2010,,,,authorized imports and exports of protected species,30.9
2011,,,,authorized imports and exports of protected species,31.2
2012,,,,authorized imports and exports of protected species,31.2
2013,,,,authorized imports and exports of protected species,31.3
2014,,,,authorized imports and exports of protected species,31.3
2015,,,,authorized imports and exports of protected species,31.4
2016,|,,,authorized imports and exports of protected species,31.4
2017,,,,authorized imports and exports of protected species,31.6
2018,,,,authorized imports and exports of protected species,31.7
2019,,,,authorized imports and exports of protected species,31.7
2020,,,,authorized imports and exports of protected species,31.8
2021,,,,authorized imports and exports of protected species,31.8
2022,,,,authorized imports and exports of protected species,31.9
2023,,,,authorized imports and exports of protected species,31.9
