Year,series,typification,sex,Series,Value
2010,housing conditions,cities,,overcrowding rate,9.6
2011,housing conditions,cities,,overcrowding rate,9.5
2012,housing conditions,cities,,overcrowding rate,10.8
2013,housing conditions,cities,,overcrowding rate,10.4
2014,housing conditions,cities,,overcrowding rate,9.9
2015,housing conditions,cities,,overcrowding rate,10.5
2016,housing conditions,cities,,overcrowding rate,11.0
2017,housing conditions,cities,,overcrowding rate,11.4
2018,housing conditions,cities,,overcrowding rate,11.5
2019,housing conditions,cities,,overcrowding rate,12.7
2010,housing conditions,smaller towns and suburbs,,overcrowding rate,4.7
2011,housing conditions,smaller towns and suburbs,,overcrowding rate,4.1
2012,housing conditions,smaller towns and suburbs,,overcrowding rate,4.8
2013,housing conditions,smaller towns and suburbs,,overcrowding rate,5.2
2014,housing conditions,smaller towns and suburbs,,overcrowding rate,5.2
2015,housing conditions,smaller towns and suburbs,,overcrowding rate,5.6
2016,housing conditions,smaller towns and suburbs,,overcrowding rate,5.9
2017,housing conditions,smaller towns and suburbs,,overcrowding rate,5.3
2018,housing conditions,smaller towns and suburbs,,overcrowding rate,5.5
2019,housing conditions,smaller towns and suburbs,,overcrowding rate,5.5
2010,housing conditions,rural areas,,overcrowding rate,4.7
2011,housing conditions,rural areas,,overcrowding rate,4.1
2012,housing conditions,rural areas,,overcrowding rate,3.7
2013,housing conditions,rural areas,,overcrowding rate,4.0
2014,housing conditions,rural areas,,overcrowding rate,4.1
2015,housing conditions,rural areas,,overcrowding rate,3.9
2016,housing conditions,rural areas,,overcrowding rate,3.5
2017,housing conditions,rural areas,,overcrowding rate,3.9
2018,housing conditions,rural areas,,overcrowding rate,4.2
2019,housing conditions,rural areas,,overcrowding rate,4.0
2010,housing conditions,cities,,rate of overburdening by housing costs,16.2
2011,housing conditions,cities,,rate of overburdening by housing costs,18.0
2012,housing conditions,cities,,rate of overburdening by housing costs,19.8
2013,housing conditions,cities,,rate of overburdening by housing costs,18.9
2014,housing conditions,cities,,rate of overburdening by housing costs,19.3
2015,housing conditions,cities,,rate of overburdening by housing costs,19.1
2016,housing conditions,cities,,rate of overburdening by housing costs,19.6
2017,housing conditions,cities,,rate of overburdening by housing costs,17.9
2018,housing conditions,cities,,rate of overburdening by housing costs,17.6
2019,housing conditions,cities,,rate of overburdening by housing costs,16.2
2010,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,13.0
2011,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,14.5
2012,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,15.5
2013,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,16.1
2014,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,14.9
2015,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,14.5
2016,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,14.5
2017,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,13.4
2018,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,13.3
2019,housing conditions,smaller towns and suburbs,,rate of overburdening by housing costs,12.7
2010,housing conditions,rural areas,,rate of overburdening by housing costs,12.3
2011,housing conditions,rural areas,,rate of overburdening by housing costs,13.6
2012,housing conditions,rural areas,,rate of overburdening by housing costs,13.9
2013,housing conditions,rural areas,,rate of overburdening by housing costs,13.3
2014,housing conditions,rural areas,,rate of overburdening by housing costs,12.7
2015,housing conditions,rural areas,,rate of overburdening by housing costs,12.0
2016,housing conditions,rural areas,,rate of overburdening by housing costs,12.2
2017,housing conditions,rural areas,,rate of overburdening by housing costs,11.0
2018,housing conditions,rural areas,,rate of overburdening by housing costs,10.4
2019,housing conditions,rural areas,,rate of overburdening by housing costs,12.4
2010,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.3
2011,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.7
2012,housing deprivation,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",13.5
