Year,timeseries,Value
2010,a) population using safely managed sanitation services (%),98.4
2011,a) population using safely managed sanitation services (%),99.1
2012,a) population using safely managed sanitation services (%),99.1
2013,a) population using safely managed sanitation services (%),99.9
2014,a) population using safely managed sanitation services (%),100.0
2015,a) population using safely managed sanitation services (%),99.9
2016,a) population using safely managed sanitation services (%),99.9
2017,a) population using safely managed sanitation services (%),99.9
2018,a) population using safely managed sanitation services (%),100.0
2019,a) population using safely managed sanitation services (%),99.8
2010,b) population with a bathtub or a shower (%),99.5
2011,b) population with a bathtub or a shower (%),99.9
2012,b) population with a bathtub or a shower (%),99.9
2013,b) population with a bathtub or a shower (%),100.0
2014,b) population with a bathtub or a shower (%),100.0
2015,b) population with a bathtub or a shower (%),100.0
2016,b) population with a bathtub or a shower (%),100.0
2017,b) population with a bathtub or a shower (%),100.0
2018,b) population with a bathtub or a shower (%),100.0
2019,b) population with a bathtub or a shower (%),100.0
