Year,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,,80.0
2011,,,,,,81.0
2012,,,,,,82.0
2013,,,,,,84.0
2014,,,,,,86.0
2015,,,,,,88.0
2016,,,,,,90.0
2017,,,,,,90.0
2018,,,,,,92.0
2019,,,,,,93.0
2020,,,,,,94.0
2021,,,|,,,91.0
2022,,,,,,92.0
2023,,,,,,92.0
2024,,,,,,94.0
2025,,,,,,95.0
2010,,female,,,,76.0
2011,,female,,,,78.0
2012,,female,,,,79.0
2013,,female,,,,81.0
2014,,female,,,,84.0
2015,,female,,,,85.0
2016,,female,,,,88.0
2017,,female,,,,89.0
2018,,female,,,,91.0
2019,,female,,,,92.0
2020,,female,,,,93.0
2021,,female,|,,,91.0
2022,,female,,,,90.0
2023,,female,,,,91.0
2024,,female,,,,93.0
2025,,female,,,,94.0
2010,,male,,,,84.0
2011,,male,,,,84.0
2012,,male,,,,85.0
2013,,male,,,,87.0
2014,,male,,,,89.0
2015,,male,,,,90.0
2016,,male,,,,91.0
2017,,male,,,,92.0
2018,,male,,,,94.0
2019,,male,,,,94.0
2020,,male,,,,95.0
2021,,male,|,,,92.0
2022,,male,,,,93.0
2023,,male,,,,93.0
2024,,male,,,,94.0
2025,,male,,,,95.0
2010,16 to under 25 years,,,,,98.0
2011,16 to under 25 years,,,,,99.0
2012,16 to under 25 years,,,,,98.0
2013,16 to under 25 years,,,,,98.0
2014,16 to under 25 years,,,,,99.0
2015,16 to under 25 years,,,,,99.0
2016,16 to under 25 years,,,,,99.0
2017,16 to under 25 years,,,,,99.0
2018,16 to under 25 years,,,,,99.0
2019,16 to under 25 years,,,,,99.0
2020,16 to under 25 years,,,,,99.0
2021,16 to under 25 years,,|,,,98.0
2022,16 to under 25 years,,,,,96.0
2023,16 to under 25 years,,,,,97.0
2024,16 to under 25 years,,,,,97.0
2025,16 to under 25 years,,…,,,
2010,25 to under 65 years,,,,,85.0
2011,25 to under 65 years,,,,,87.0
2012,25 to under 65 years,,,,,88.0
2013,25 to under 65 years,,,,,89.0
2014,25 to under 65 years,,,,,91.0
2015,25 to under 65 years,,,,,92.0
2016,25 to under 65 years,,,,,93.0
2017,25 to under 65 years,,,,,93.0
2018,25 to under 65 years,,,,,95.0
2019,25 to under 65 years,,,,,96.0
2020,25 to under 65 years,,,,,97.0
2021,25 to under 65 years,,|,,,94.0
2022,25 to under 65 years,,,,,94.0
2023,25 to under 65 years,,,,,95.0
2024,25 to under 65 years,,,,,95.0
2025,25 to under 65 years,,…,,,
2010,65 to under 75 years,,,,,41.0
2011,65 to under 75 years,,,,,41.0
2012,65 to under 75 years,,,,,43.0
2013,65 to under 75 years,,,,,50.0
2014,65 to under 75 years,,,,,53.0
2015,65 to under 75 years,,,,,56.0
2016,65 to under 75 years,,,,,62.0
2017,65 to under 75 years,,,,,64.0
2018,65 to under 75 years,,,,,71.0
2019,65 to under 75 years,,,,,72.0
2020,65 to under 75 years,,,,,76.0
2021,65 to under 75 years,,|,,,74.0
2022,65 to under 75 years,,,,,77.0
2023,65 to under 75 years,,,,,79.0
2024,65 to under 75 years,,,,,83.0
2025,65 to under 75 years,,…,,,
