Year,Value,Units,Series
2022,27104,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2023,19535,attributable deaths,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2010,466082,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2011,435290,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2012,375632,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2013,378623,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2014,362514,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2015,332666,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2016,315346,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2017,301737,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2018,324648,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2019,239209,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2020,212531,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
2021,232863,dalys,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older
