Year,Value,Series
2010,34.22,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2011,31.63,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2012,27.41,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2013,24.98,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2014,21.28,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2015,17.36,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2016,14.68,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2017,11.89,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2018,9.06,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2020,7.85,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2021,6.93,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2023,16.08,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2024,18.58,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
2010,136.99,"population having neither a bath, nor a shower in their dwelling"
2011,137.86,"population having neither a bath, nor a shower in their dwelling"
2012,144.17,"population having neither a bath, nor a shower in their dwelling"
2013,140.5,"population having neither a bath, nor a shower in their dwelling"
2014,145.48,"population having neither a bath, nor a shower in their dwelling"
2015,146.5,"population having neither a bath, nor a shower in their dwelling"
2016,146.62,"population having neither a bath, nor a shower in their dwelling"
2017,151.25,"population having neither a bath, nor a shower in their dwelling"
2018,151.7,"population having neither a bath, nor a shower in their dwelling"
2020,169.64,"population having neither a bath, nor a shower in their dwelling"
2021,33.72,"population having neither a bath, nor a shower in their dwelling"
2023,35.66,"population having neither a bath, nor a shower in their dwelling"
2024,33.46,"population having neither a bath, nor a shower in their dwelling"
2018,3.0,population not having indoor flushing toilet for the sole use of their household
2020,3.0,population not having indoor flushing toilet for the sole use of their household
2018,3.0,population considering their dwelling as too dark
2020,4.0,population considering their dwelling as too dark
