Year,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,score for the implementation of unclos and ist two implementing agreements,r,,,63.3
2011,score for the implementation of unclos and ist two implementing agreements,r,,,63.3
2012,score for the implementation of unclos and ist two implementing agreements,r,,,64.3
2013,score for the implementation of unclos and ist two implementing agreements,r,,,63.7
2014,score for the implementation of unclos and ist two implementing agreements,r,,,62.5
2015,score for the implementation of unclos and ist two implementing agreements,r,,,62.6
2016,score for the implementation of unclos and ist two implementing agreements,r,,,62.2
2017,score for the implementation of unclos and ist two implementing agreements,r,,,61.8
2018,score for the implementation of unclos and ist two implementing agreements,r,,,62.1
2019,score for the implementation of unclos and ist two implementing agreements,r,,,55.1
2020,score for the implementation of unclos and ist two implementing agreements,,,,49.0
2021,score for the implementation of unclos and ist two implementing agreements,,,,51.5
2010,score for the ratification of and accession to unclos and ist two implementing agreements,,,,14.4
2011,score for the ratification of and accession to unclos and ist two implementing agreements,,,,13.5
2012,score for the ratification of and accession to unclos and ist two implementing agreements,,,,13.7
2013,score for the ratification of and accession to unclos and ist two implementing agreements,,,,13.8
2014,score for the ratification of and accession to unclos and ist two implementing agreements,,,,13.1
2015,score for the ratification of and accession to unclos and ist two implementing agreements,,,,13.6
2016,score for the ratification of and accession to unclos and ist two implementing agreements,,,,13.2
2017,score for the ratification of and accession to unclos and ist two implementing agreements,,,,13.7
2018,score for the ratification of and accession to unclos and ist two implementing agreements,,,,12.8
2019,score for the ratification of and accession to unclos and ist two implementing agreements,,,,11.8
2020,score for the ratification of and accession to unclos and ist two implementing agreements,.,,,
2021,score for the ratification of and accession to unclos and ist two implementing agreements,…,,,
