Year,sex,COMMENT_OBS,Value
2010,,p,15.6
2011,,p,15.8
2012,,p,16.1
2013,,p,16.1
2014,,p,16.7
2015,,p,16.7
2016,,p,16.5
2017,,p,16.1
2018,,p,16.0
2019,,p,14.8
2020,,p,16.1
2021,,s,16.0
2022,,e,14.8
2023,,p,14.3
2010,female,p,16.4
2011,female,p,16.8
2012,female,p,17.2
2013,female,p,17.2
2014,female,p,17.4
2015,female,p,17.4
2016,female,p,17.8
2017,female,p,17.1
2018,female,p,16.8
2019,female,p,15.7
2020,female,p,16.8
2021,female,p,16.6
2022,female,p,15.5
2023,female,p,15.0
2010,male,p,14.9
2011,male,p,14.9
2012,male,p,14.9
2013,male,p,15.0
2014,male,p,15.9
2015,male,p,15.9
2016,male,p,15.2
2017,male,p,15.0
2018,male,p,15.2
2019,male,p,13.9
2020,male,p,15.3
2021,male,p,15.4
2022,male,p,14.0
2023,male,p,13.6
