Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2011,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2012,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2013,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2014,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2015,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2016,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2017,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2018,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2019,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2020,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,.,,,
2021,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,100.0
2022,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,100.0
2023,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,100.0
2024,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,100.0
2010,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2011,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2012,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2013,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2014,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2015,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2016,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2017,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2018,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2019,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2020,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,.,,,
2021,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,99.5
2022,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,99.6
2023,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,99.7
2024,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,99.7
2010,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2011,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2012,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2013,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2014,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2015,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2016,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2017,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2018,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2019,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2020,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,.,,,
2021,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,20.3
2022,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,74.6
