Year,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,ratio of regulatory capital to all weighted risk positions,.,,,
2011,ratio of regulatory capital to all weighted risk positions,.,,,
2012,ratio of regulatory capital to all weighted risk positions,.,,,
2013,ratio of regulatory capital to all weighted risk positions,.,,,
2014,ratio of regulatory capital to all weighted risk positions,.,,,
2015,ratio of regulatory capital to all weighted risk positions,.,,,
2016,ratio of regulatory capital to all weighted risk positions,.,,,
2017,ratio of regulatory capital to all weighted risk positions,.,,,
2018,ratio of regulatory capital to all weighted risk positions,.,,,
2019,ratio of regulatory capital to all weighted risk positions,.,,,
2020,ratio of regulatory capital to all weighted risk positions,.,,,
2021,ratio of regulatory capital to all weighted risk positions,,,,100.0
2022,ratio of regulatory capital to all weighted risk positions,,,,100.0
2023,ratio of regulatory capital to all weighted risk positions,,,,100.0
2024,ratio of regulatory capital to all weighted risk positions,,,,100.0
2010,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2011,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2012,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2013,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2014,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2015,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2016,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2017,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2018,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2019,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2020,ratio of regulatory (tier 1) capital to all weighted risk positions,.,,,
2021,ratio of regulatory (tier 1) capital to all weighted risk positions,,,,99.5
2022,ratio of regulatory (tier 1) capital to all weighted risk positions,,,,99.6
2023,ratio of regulatory (tier 1) capital to all weighted risk positions,,,,99.7
2024,ratio of regulatory (tier 1) capital to all weighted risk positions,,,,99.7
2010,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2011,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2012,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2013,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2014,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2015,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2016,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2017,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2018,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2019,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2020,ratio of non-performing loans (net of risk provisions) to balance sheet capital,.,,,
2021,ratio of non-performing loans (net of risk provisions) to balance sheet capital,,,,20.3
2022,ratio of non-performing loans (net of risk provisions) to balance sheet capital,,,,74.6
2023,ratio of non-performing loans (net of risk provisions) to balance sheet capital,,,,98.0
2024,ratio of non-performing loans (net of risk provisions) to balance sheet capital,,,,99.2
2010,non-performing loans to total gross loans,.,,,
2011,non-performing loans to total gross loans,.,,,
2012,non-performing loans to total gross loans,.,,,
2013,non-performing loans to total gross loans,.,,,
2014,non-performing loans to total gross loans,.,,,
2015,non-performing loans to total gross loans,.,,,
2016,non-performing loans to total gross loans,.,,,
2017,non-performing loans to total gross loans,.,,,
2018,non-performing loans to total gross loans,.,,,
2019,non-performing loans to total gross loans,.,,,
2020,non-performing loans to total gross loans,.,,,
2021,non-performing loans to total gross loans,,,,17.3
2022,non-performing loans to total gross loans,,,,64.6
2023,non-performing loans to total gross loans,,,,96.0
2024,non-performing loans to total gross loans,,,,98.1
2010,total return on assets,.,,,
2011,total return on assets,.,,,
2012,total return on assets,.,,,
2013,total return on assets,.,,,
2014,total return on assets,.,,,
2015,total return on assets,.,,,
2016,total return on assets,.,,,
2017,total return on assets,.,,,
2018,total return on assets,.,,,
2019,total return on assets,.,,,
2020,total return on assets,.,,,
2021,total return on assets,,,,22.2
2022,total return on assets,,,,75.7
2023,total return on assets,,,,98.4
2024,total return on assets,,,,99.3
2010,ratio of liquid assets to short-term liabilities,.,,,
2011,ratio of liquid assets to short-term liabilities,.,,,
2012,ratio of liquid assets to short-term liabilities,.,,,
2013,ratio of liquid assets to short-term liabilities,.,,,
2014,ratio of liquid assets to short-term liabilities,.,,,
2015,ratio of liquid assets to short-term liabilities,.,,,
2016,ratio of liquid assets to short-term liabilities,.,,,
2017,ratio of liquid assets to short-term liabilities,.,,,
2018,ratio of liquid assets to short-term liabilities,.,,,
2019,ratio of liquid assets to short-term liabilities,.,,,
2020,ratio of liquid assets to short-term liabilities,.,,,
2021,ratio of liquid assets to short-term liabilities,,,,64.5
2022,ratio of liquid assets to short-term liabilities,,,,97.9
2023,ratio of liquid assets to short-term liabilities,,,,100.0
2024,ratio of liquid assets to short-term liabilities,,,,100.0
2010,ratio of open foreign exchange position to regulatory capital,.,,,
2011,ratio of open foreign exchange position to regulatory capital,.,,,
2012,ratio of open foreign exchange position to regulatory capital,.,,,
2013,ratio of open foreign exchange position to regulatory capital,.,,,
2014,ratio of open foreign exchange position to regulatory capital,.,,,
2015,ratio of open foreign exchange position to regulatory capital,.,,,
2016,ratio of open foreign exchange position to regulatory capital,.,,,
2017,ratio of open foreign exchange position to regulatory capital,.,,,
2018,ratio of open foreign exchange position to regulatory capital,.,,,
2019,ratio of open foreign exchange position to regulatory capital,.,,,
2020,ratio of open foreign exchange position to regulatory capital,.,,,
2021,ratio of open foreign exchange position to regulatory capital,,,,5.2
2022,ratio of open foreign exchange position to regulatory capital,,,,72.5
2023,ratio of open foreign exchange position to regulatory capital,,,,97.8
2024,ratio of open foreign exchange position to regulatory capital,,,,99.2
