Year,Zeitreihe,Verstädterungsgrad,Altersklasse,Geschlecht,Value
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,12.4
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,12.6
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Städte,,,12.3
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Städte,,,12.6
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Ländliche Gebiete,,,12.6
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Ländliche Gebiete,,,12.9
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,15 Jahre und älter,,12.8
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,15 Jahre und älter,,13.1
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,15 bis unter 25 Jahre,,5.4
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,15 bis unter 25 Jahre,,5.7
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,25 bis unter 45 Jahre,,13.6
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,25 bis unter 45 Jahre,,13.9
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,45 bis unter 55 Jahre,,13.0
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,45 bis unter 55 Jahre,,13.0
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,55 bis unter 65 Jahre,,13.5
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,55 bis unter 65 Jahre,,13.2
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,65 Jahre und älter,,15.5
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,65 Jahre und älter,,15.3
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,Weiblich,15.2
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,Weiblich,15.1
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,Männlich,9.6
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,Männlich,10.1
2013,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Städte,,Weiblich,15.1
2022,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Städte,,Weiblich,15.1
