Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2021,,,,co₂ emissions per real gdp,218932.0
2022,,,,co₂ emissions per real gdp,193459.0
2023,,,,co₂ emissions per real gdp,182289.0
2010,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,57.9
2011,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,57.0
2012,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,54.7
2013,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,54.3
2014,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,52.8
2015,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,47.8
2016,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,44.9
2017,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,42.2
2018,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,39.0
2019,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,37.3
2020,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,33.8
2021,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,32.8
2022,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,28.5
2023,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,27.1
2024,,,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,25.1
