Year,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,.,,,
2011,,.,,,
2012,,,,,101.6
2013,,,,,99.6
2014,,,,,100.2
2015,,,,,100.5
2016,,,,,100.9
2017,,,,,99.0
2018,,,,,98.3
2019,,,,,98.0
2020,,,,,97.4
2021,,,,,96.6
2022,,,,,98.8
2023,,,,,102.4
2024,,,,,99.7
2010,female,.,,,
2011,female,.,,,
2012,female,,,,98.2
2013,female,,,,98.6
2014,female,,,,97.5
2015,female,,,,97.7
2016,female,,,,97.8
2017,female,,,,96.0
2018,female,,,,95.3
2019,female,,,,92.7
2020,female,,,,94.5
2021,female,,,,91.1
2022,female,,,,87.0
2023,female,,,,88.0
2024,female,,,,97.3
2010,male,.,,,
2011,male,.,,,
2012,male,,,,94.6
2013,male,,,,85.0
2014,male,,,,97.5
2015,male,,,,98.1
2016,male,,,,72.4
2017,male,,,,69.5
2018,male,,,,78.7
2019,male,,,,78.9
2020,male,,,,35.8
2021,male,,,,39.0
2022,male,,,,58.3
2023,male,,,,70.6
2024,male,,,,61.9
2010,divers,.,,,
2011,divers,.,,,
2012,divers,,,,95.0
2013,divers,,,,92.8
2014,divers,,,,89.8
2015,divers,,,,87.0
2016,divers,,,,84.4
2017,divers,,,,85.5
2018,divers,,,,88.1
2019,divers,,,,88.7
2020,divers,,,,71.8
2021,divers,,,,74.8
2022,divers,,,,78.8
2023,divers,,,,80.7
2024,divers,,,,82.4
