Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Anzahl,.,,,
2011,Anzahl,.,,,
2012,Anzahl,.,,,
2013,Anzahl,.,,,
2014,Anzahl,.,,,
2015,Anzahl,.,,,
2016,Anzahl,.,,,
2017,Anzahl,.,,,
2018,Anzahl,r,,,3331.0
2019,Anzahl,r,,,3259.0
2020,Anzahl,r,,,3578.0
2021,Anzahl,r,,,3817.0
2022,Anzahl,r,,,4227.0
2023,Anzahl,r,,,4521.0
2024,Anzahl,,,,4994.0
2010,Je 100 000 Einwohner/-innen,.,,,
2011,Je 100 000 Einwohner/-innen,.,,,
2012,Je 100 000 Einwohner/-innen,.,,,
2013,Je 100 000 Einwohner/-innen,.,,,
2014,Je 100 000 Einwohner/-innen,.,,,
2015,Je 100 000 Einwohner/-innen,.,,,
2016,Je 100 000 Einwohner/-innen,.,,,
2017,Je 100 000 Einwohner/-innen,.,,,
2018,Je 100 000 Einwohner/-innen,r,,,9.19
2019,Je 100 000 Einwohner/-innen,r,,,9.0
2020,Je 100 000 Einwohner/-innen,r,,,9.89
2021,Je 100 000 Einwohner/-innen,r,,,10.58
2022,Je 100 000 Einwohner/-innen,r,,,11.65
2023,Je 100 000 Einwohner/-innen,r,,,12.36
2024,Je 100 000 Einwohner/-innen,,,,13.63
2010,Prozent,.,,,
2011,Prozent,.,,,
2012,Prozent,.,,,
2013,Prozent,.,,,
2014,Prozent,.,,,
2015,Prozent,.,,,
2016,Prozent,.,,,
2017,Prozent,.,,,
2018,Prozent,,,,0.01
2019,Prozent,,,,0.01
2020,Prozent,,,,0.01
2021,Prozent,,,,0.01
2022,Prozent,,,,0.01
2023,Prozent,,,,0.01
2024,Prozent,,,,0.01
