Year,Units,Mode of transport,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Million passenger-kilometre,,…,,,Passenger transport,
2011,Million passenger-kilometre,,…,,,Passenger transport,
2012,Million passenger-kilometre,,…,,,Passenger transport,
2013,Million passenger-kilometre,,…,,,Passenger transport,
2014,Million passenger-kilometre,,…,,,Passenger transport,
2015,Million passenger-kilometre,,…,,,Passenger transport,
2016,Million passenger-kilometre,,…,,,Passenger transport,
2017,Million passenger-kilometre,,…,,,Passenger transport,
2018,Million passenger-kilometre,,…,,,Passenger transport,
2019,Million passenger-kilometre,,…,,,Passenger transport,
2020,Million passenger-kilometre,,,,,Passenger transport,387316.0
2021,Million passenger-kilometre,,,,,Passenger transport,412861.0
2022,Million passenger-kilometre,,,,,Passenger transport,447744.0
2023,Million passenger-kilometre,,,,,Passenger transport,451432.0
2010,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2011,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2012,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2013,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2014,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2015,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2016,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2017,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2018,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2019,Million passenger-kilometre,Road transport,…,,,Passenger transport,
2020,Million passenger-kilometre,Road transport,,,,Passenger transport,333052.0
2021,Million passenger-kilometre,Road transport,,,,Passenger transport,474192.0
2022,Million passenger-kilometre,Road transport,,,,Passenger transport,474307.0
2023,Million passenger-kilometre,Road transport,,,,Passenger transport,471128.0
2010,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2011,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2012,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2013,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2014,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2015,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2016,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2017,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
2018,Million passenger-kilometre,Rail transport,…,,,Passenger transport,
