Year,Units,Value
2010,Time spent on unpaid domestic and care work (%),
2011,Time spent on unpaid domestic and care work (%),
2014,Time spent on unpaid domestic and care work (%),
2015,Time spent on unpaid domestic and care work (%),
2016,Time spent on unpaid domestic and care work (%),
2017,Time spent on unpaid domestic and care work (%),
2018,Time spent on unpaid domestic and care work (%),
2010,female (%),
2011,female (%),
2014,female (%),
2015,female (%),
2016,female (%),
2017,female (%),
2018,female (%),
2010,male (%),
2011,male (%),
2014,male (%),
2015,male (%),
2016,male (%),
2017,male (%),
2018,male (%),
