Year,Units,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Per 100,000 inhabitants",,,,,,4.7
2011,"Per 100,000 inhabitants",,,,,,5.22
2012,"Per 100,000 inhabitants",,,,,,4.78
2013,"Per 100,000 inhabitants",,,,,,4.32
2014,"Per 100,000 inhabitants",,,,,,4.23
2015,"Per 100,000 inhabitants",,,,,,4.13
2016,"Per 100,000 inhabitants",,,,,,3.77
2017,"Per 100,000 inhabitants",,,,,,3.57
2018,"Per 100,000 inhabitants",,,,,,3.71
2019,"Per 100,000 inhabitants",,,,,,3.37
2020,"Per 100,000 inhabitants",,,,,,3.04
2021,"Per 100,000 inhabitants",,,,,,2.8
2022,"Per 100,000 inhabitants",,,,,,3.08
2023,"Per 100,000 inhabitants",,,,,,3.04
2024,"Per 100,000 inhabitants",,,,,,3.24
2010,"Per 100,000 inhabitants",14 years and younger,,,,,0.93
2011,"Per 100,000 inhabitants",14 years and younger,,,,,0.83
2012,"Per 100,000 inhabitants",14 years and younger,,,,,0.7
2013,"Per 100,000 inhabitants",14 years and younger,,,,,0.51
2014,"Per 100,000 inhabitants",14 years and younger,,,,,0.7
2015,"Per 100,000 inhabitants",14 years and younger,,,,,0.58
2016,"Per 100,000 inhabitants",14 years and younger,,,,,0.6
2017,"Per 100,000 inhabitants",14 years and younger,,,,,0.43
2018,"Per 100,000 inhabitants",14 years and younger,,,,,0.53
2019,"Per 100,000 inhabitants",14 years and younger,,,,,0.39
2020,"Per 100,000 inhabitants",14 years and younger,,,,,0.32
2021,"Per 100,000 inhabitants",14 years and younger,,,,,0.31
2022,"Per 100,000 inhabitants",14 years and younger,,,,,0.36
2023,"Per 100,000 inhabitants",14 years and younger,,,,,0.21
2024,"Per 100,000 inhabitants",14 years and younger,,,,,0.45
2010,"Per 100,000 inhabitants",15 to under 25 years,,,,,8.66
2011,"Per 100,000 inhabitants",15 to under 25 years,,,,,9.63
2012,"Per 100,000 inhabitants",15 to under 25 years,,,,,8.59
2013,"Per 100,000 inhabitants",15 to under 25 years,,,,,6.73
2014,"Per 100,000 inhabitants",15 to under 25 years,,,,,6.85
2015,"Per 100,000 inhabitants",15 to under 25 years,,,,,5.96
2016,"Per 100,000 inhabitants",15 to under 25 years,,,,,5.41
2017,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.86
2018,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.77
2019,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.5
2020,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.21
2021,"Per 100,000 inhabitants",15 to under 25 years,,,,,3.66
2022,"Per 100,000 inhabitants",15 to under 25 years,,,,,3.51
2023,"Per 100,000 inhabitants",15 to under 25 years,,,,,3.39
2024,"Per 100,000 inhabitants",15 to under 25 years,,,,,4.01
2010,"Per 100,000 inhabitants",25 to under 35 years,,,,,5.23
2011,"Per 100,000 inhabitants",25 to under 35 years,,,,,5.65
2012,"Per 100,000 inhabitants",25 to under 35 years,,,,,4.91
2013,"Per 100,000 inhabitants",25 to under 35 years,,,,,4.36
2014,"Per 100,000 inhabitants",25 to under 35 years,,,,,4.18
2015,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.89
2016,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.28
2017,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.22
2018,"Per 100,000 inhabitants",25 to under 35 years,,,,,3.19
2019,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.95
2020,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.85
2021,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.37
2022,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.4
2023,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.47
2024,"Per 100,000 inhabitants",25 to under 35 years,,,,,2.38
2010,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.46
2011,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.9
2012,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.42
2013,"Per 100,000 inhabitants",35 to under 45 years,,,,,3.42
