Year,Units,Disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,44733
2011,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,42728
2012,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,35344
2013,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,39816
2014,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,37793
2015,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,37048
2016,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,35368
2017,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,35763
2018,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,38365
2019,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,28779
2020,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,26021
2021,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,28629
2022,Attributable deaths,,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,27104
2023,Attributable deaths,,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,19535
2010,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3677
2011,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3511
2012,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2726
2013,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3235
2014,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2979
2015,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2964
