Year,Water use index,Value
2010,Share of withdrawal in renewable water resources,17.3
2011,Share of withdrawal in renewable water resources,
2012,Share of withdrawal in renewable water resources,
2013,Share of withdrawal in renewable water resources,13.99
2014,Share of withdrawal in renewable water resources,
2015,Share of withdrawal in renewable water resources,
2016,Share of withdrawal in renewable water resources,15.42
2017,Share of withdrawal in renewable water resources,
2018,Share of withdrawal in renewable water resources,
2019,Share of withdrawal in renewable water resources,16.25
2010,Share of withdrawal in renewable water resources (excluding cooling water),4.65
2011,Share of withdrawal in renewable water resources (excluding cooling water),
2012,Share of withdrawal in renewable water resources (excluding cooling water),
2013,Share of withdrawal in renewable water resources (excluding cooling water),4.83
2014,Share of withdrawal in renewable water resources (excluding cooling water),
2015,Share of withdrawal in renewable water resources (excluding cooling water),
2016,Share of withdrawal in renewable water resources (excluding cooling water),5.47
2017,Share of withdrawal in renewable water resources (excluding cooling water),
2018,Share of withdrawal in renewable water resources (excluding cooling water),
2019,Share of withdrawal in renewable water resources (excluding cooling water),6.96
