Year,Country of origin,Value
2010,,0.47
2011,,0.47
2012,,0.5
2013,,0.51
2014,,0.57
2015,,0.67
2016,,1.05
2017,,1.39
2018,,1.55
2019,,1.64
2020,,1.68
2010,Afghanistan,0.03
2011,Afghanistan,0.03
2012,Afghanistan,0.03
2013,Afghanistan,0.04
2014,Afghanistan,0.04
2015,Afghanistan,0.04
2016,Afghanistan,0.06
2017,Afghanistan,0.13
2018,Afghanistan,0.16
2019,Afghanistan,0.17
2020,Afghanistan,0.18
2010,Iran,0.02
2011,Iran,0.02
2012,Iran,0.02
2013,Iran,0.02
2014,Iran,0.03
2015,Iran,0.03
2016,Iran,0.03
2017,Iran,0.05
2018,Iran,0.05
2019,Iran,0.05
2020,Iran,0.05
2010,Iraq,0.05
2011,Iraq,0.05
2012,Iraq,0.05
2013,Iraq,0.05
2014,Iraq,0.06
2015,Iraq,0.07
2016,Iraq,0.1
2017,Iraq,0.15
2018,Iraq,0.17
2019,Iraq,0.17
2020,Iraq,0.17
2010,Russian Federation,0.04
2011,Russian Federation,0.05
2012,Russian Federation,0.05
2013,Russian Federation,0.04
2014,Russian Federation,0.05
2015,Russian Federation,0.04
2016,Russian Federation,0.04
2017,Russian Federation,0.05
2018,Russian Federation,0.05
2019,Russian Federation,0.05
2020,Russian Federation,0.05
2010,Syria,0.01
2011,Syria,0.01
2012,Syria,0.02
2013,Syria,0.03
2014,Syria,0.07
2015,Syria,0.14
2016,Syria,0.43
2017,Syria,0.57
2018,Syria,0.63
2019,Syria,0.68
2020,Syria,0.7
2010,Turkey,0.05
2011,Turkey,0.05
2012,Turkey,0.05
2013,Turkey,0.05
2014,Turkey,0.05
2015,Turkey,0.05
2016,Turkey,0.05
2017,Turkey,0.05
2018,Turkey,0.05
2019,Turkey,0.05
2020,Turkey,0.06
