Year,Units,Time series,Presentation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,0.6
2011,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,0.1
2012,No unit,Ratio of land consumption rate to population growth rate,Annual values,,,,0.1
2013,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,,,0.0
2014,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,,,0.0
2015,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,,,0.0
2016,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,,,0.0
2017,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,,,0.0
2018,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,,,0.0
2019,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,,,0.0
2020,No unit,Ratio of land consumption rate to population growth rate,Annual values,0,|,,0.0
2021,No unit,Ratio of land consumption rate to population growth rate,Annual values,.,,,
2022,No unit,Ratio of land consumption rate to population growth rate,Annual values,.,,,
2023,No unit,Ratio of land consumption rate to population growth rate,Annual values,.,,,
2010,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,1.6
2011,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,0.9
2012,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,0.9
2013,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,0.1
2014,2015 = 100,Proportion of settlement and transport areas to population,Annual values,0,,,0.0
2015,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,0.1
2016,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,0.1
2017,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,0.1
2018,2015 = 100,Proportion of settlement and transport areas to population,Annual values,0,,,0.0
2019,2015 = 100,Proportion of settlement and transport areas to population,Annual values,,,,0.2
2020,2015 = 100,Proportion of settlement and transport areas to population,Annual values,|,,,0.0
2021,2015 = 100,Proportion of settlement and transport areas to population,Annual values,.,,,
2022,2015 = 100,Proportion of settlement and transport areas to population,Annual values,.,,,
2023,2015 = 100,Proportion of settlement and transport areas to population,Annual values,.,,,
2010,Percentage,Land consumption rate,Annual values,,,,1.7
2011,Percentage,Land consumption rate,Annual values,,,,0.9
2012,Percentage,Land consumption rate,Annual values,,,,1.0
2013,Percentage,Land consumption rate,Annual values,,,,0.2
2014,Percentage,Land consumption rate,Annual values,0,,,0.0
2015,Percentage,Land consumption rate,Annual values,,,,0.1
2016,Percentage,Land consumption rate,Annual values,,,,0.1
2017,Percentage,Land consumption rate,Annual values,,,,0.1
2018,Percentage,Land consumption rate,Annual values,,,,0.1
2019,Percentage,Land consumption rate,Annual values,,,,0.2
2020,Percentage,Land consumption rate,Annual values,|,,,0.0
2021,Percentage,Land consumption rate,Annual values,.,,,
2022,Percentage,Land consumption rate,Annual values,.,,,
2023,Percentage,Land consumption rate,Annual values,.,,,
2010,Percentage,Population growth rate,Annual values,,,,1.6
2011,Percentage,Population growth rate,Annual values,,,,0.8
2012,Percentage,Population growth rate,Annual values,,,,0.9
2013,Percentage,Population growth rate,Annual values,,,,0.1
2014,Percentage,Population growth rate,Annual values,0,,,0.0
2015,Percentage,Population growth rate,Annual values,,,,0.1
2016,Percentage,Population growth rate,Annual values,,,,0.1
2017,Percentage,Population growth rate,Annual values,,,,0.1
2018,Percentage,Population growth rate,Annual values,0,,,0.0
2019,Percentage,Population growth rate,Annual values,,,,0.3
2020,Percentage,Population growth rate,Annual values,|,,,0.0
2021,Percentage,Population growth rate,Annual values,.,,,
