Year,COMMENT_TS,Series,Value
2010,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2011,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2012,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2013,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2014,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2015,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2016,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2017,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2018,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),
2019,"Score 0.0 = No national target reflecting Aichi Biodiversity Target 2<br>Score 0.2 = National target exists, but moving away from it<br>Score 0.4 = National target exists, but no progress<br>Score 0.6 = National target exists and progress is there, but at as insufficient rate<br>Score 0.8 = National target exists and progress is on track to achieve it<br>Score 1.0 = National target exists and progress is on track to exceed it",Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (NBSAP),0.6
