Year,Time series,Age group,Value
2010,Infant mortality rate (under 1 year),under 1 year,3.4
2011,Infant mortality rate (under 1 year),under 1 year,3.6
2012,Infant mortality rate (under 1 year),under 1 year,3.3
2013,Infant mortality rate (under 1 year),under 1 year,3.3
2014,Infant mortality rate (under 1 year),under 1 year,3.2
2015,Infant mortality rate (under 1 year),under 1 year,3.3
2016,Infant mortality rate (under 1 year),under 1 year,3.4
2017,Infant mortality rate (under 1 year),under 1 year,3.2
2010,Under-five mortality rate,under 5 years,4.1
2011,Under-five mortality rate,under 5 years,4.3
2012,Under-five mortality rate,under 5 years,3.9
2013,Under-five mortality rate,under 5 years,3.9
2014,Under-five mortality rate,under 5 years,3.8
2015,Under-five mortality rate,under 5 years,3.9
2016,Under-five mortality rate,under 5 years,4.0
2017,Under-five mortality rate,under 5 years,3.8
