Year,Units,Time series,Fields of work,Level of court,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,Working-age population,,,.,,,
2011,Percentage,Working-age population,,,.,,,
2012,Percentage,Working-age population,,,.,,,
2013,Percentage,Working-age population,,,.,,,
2014,Percentage,Working-age population,,,.,,,
2015,Percentage,Working-age population,,,.,,,
2016,Percentage,Working-age population,,,.,,,
2017,Percentage,Working-age population,,,.,,,
2018,Percentage,Working-age population,,,.,,,
2019,Percentage,Working-age population,,,.,,,
2020,Percentage,Working-age population,,,,,,1.1
2021,Percentage,Working-age population,,,…,,,
2022,Percentage,Working-age population,,,…,,,
2023,Percentage,Working-age population,,,…,,,
2024,Percentage,Working-age population,,,…,,,
2010,Percentage,German Bundestag (lower chamber),,,.,,,
2011,Percentage,German Bundestag (lower chamber),,,.,,,
2012,Percentage,German Bundestag (lower chamber),,,.,,,
2013,Percentage,German Bundestag (lower chamber),,,.,,,
2014,Percentage,German Bundestag (lower chamber),,,.,,,
2015,Percentage,German Bundestag (lower chamber),,,.,,,
2016,Percentage,German Bundestag (lower chamber),,,.,,,
2017,Percentage,German Bundestag (lower chamber),,,.,,,
2018,Percentage,German Bundestag (lower chamber),,,.,,,
2019,Percentage,German Bundestag (lower chamber),,,.,,,
2020,Percentage,German Bundestag (lower chamber),,,,,,4.6
2021,Percentage,German Bundestag (lower chamber),,,…,,,
2022,Percentage,German Bundestag (lower chamber),,,…,,,
2023,Percentage,German Bundestag (lower chamber),,,…,,,
2024,Percentage,German Bundestag (lower chamber),,,…,,,
2010,Percentage,Bundesrat (upper chamber),,,.,,,
2011,Percentage,Bundesrat (upper chamber),,,.,,,
2012,Percentage,Bundesrat (upper chamber),,,.,,,
2013,Percentage,Bundesrat (upper chamber),,,.,,,
2014,Percentage,Bundesrat (upper chamber),,,.,,,
2015,Percentage,Bundesrat (upper chamber),,,.,,,
2016,Percentage,Bundesrat (upper chamber),,,.,,,
2017,Percentage,Bundesrat (upper chamber),,,.,,,
2018,Percentage,Bundesrat (upper chamber),,,.,,,
2019,Percentage,Bundesrat (upper chamber),,,.,,,
2020,Percentage,Bundesrat (upper chamber),,,,,,2.1
