Year,Sex,Age group,Type of physical violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,,,,,,,31.3
2020,Female,,,,,,18.6
2020,Male,,,,,,39.7
2020,,16 to under 25 years,,,,,19.5
2020,,25 to under 35 years,,,,,33.0
2020,,35 to under 45 years,,,,,40.3
2020,,45 to under 55 years,,,,,37.6
2020,,55 to under 65 years,,,,,32.2
2020,,65 to under 75 years,,,,,81.8
2020,,75 years and older,,,,,52.7
2012,,,Physical assault,,,,32.9
2017,,,Physical assault,,,,36.6
2020,,,Physical assault,|,,,33.5
2012,Female,,Physical assault,,,,34.1
2017,Female,,Physical assault,,,,40.0
2020,Female,,Physical assault,|,,,21.3
2012,Male,,Physical assault,,,,32.3
2017,Male,,Physical assault,,,,34.6
2020,Male,,Physical assault,|,,,40.3
2012,,,Robbery,,,,33.6
2017,,,Robbery,,,,32.0
2020,,,Robbery,|,,,24.0
2012,Female,,Robbery,,,,42.8
2017,Female,,Robbery,,,,38.8
2020,Female,,Robbery,|,,,13.1
2012,Male,,Robbery,,,,28.3
2017,Male,,Robbery,,,,27.3
2020,Male,,Robbery,|,,,37.2
