Year,Education level,Sex,COMMENT_OBS_0,Value
2022,Lower secondary school completed,,.,
2023,Lower secondary school completed,,p,91.3
2024,Lower secondary school completed,,…,
2022,Lower secondary school completed,Female,.,
2023,Lower secondary school completed,Female,p,92.6
2024,Lower secondary school completed,Female,…,
2022,Lower secondary school completed,Male,.,
2023,Lower secondary school completed,Male,p,90.0
2024,Lower secondary school completed,Male,…,
2022,Upper secondary school completed,,.,
2023,Upper secondary school completed,,p,77.1
2024,Upper secondary school completed,,…,
2022,Upper secondary school completed,Female,.,
2023,Upper secondary school completed,Female,p,80.6
2024,Upper secondary school completed,Female,…,
2022,Upper secondary school completed,Male,.,
2023,Upper secondary school completed,Male,p,73.9
2024,Upper secondary school completed,Male,…,
