Year,Units,Type of official development assistance,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,Official development assistance,,,,999
2011,Million EUR,Commitments,Official development assistance,,,,999
2012,Million EUR,Commitments,Official development assistance,,,,999
2013,Million EUR,Commitments,Official development assistance,,,,999
2014,Million EUR,Commitments,Official development assistance,,,,999
2015,Million EUR,Commitments,Official development assistance,,,,999
2016,Million EUR,Commitments,Official development assistance,,,,999
2017,Million EUR,Commitments,Official development assistance,,,,999
2018,Million EUR,Commitments,Official development assistance,,,,999
2019,Million EUR,Commitments,Official development assistance,,,,999
2020,Million EUR,Commitments,Official development assistance,,,,999
2021,Million EUR,Commitments,Official development assistance,,,,999
2022,Million EUR,Commitments,Official development assistance,,,,999
2023,Million EUR,Commitments,Official development assistance,,,,999
2024,Million EUR,Commitments,Official development assistance,,,,999
2010,Million EUR,Gross disbursements,Official development assistance,,,,999
2011,Million EUR,Gross disbursements,Official development assistance,,,,999
2012,Million EUR,Gross disbursements,Official development assistance,,,,999
2013,Million EUR,Gross disbursements,Official development assistance,,,,999
2014,Million EUR,Gross disbursements,Official development assistance,,,,999
2015,Million EUR,Gross disbursements,Official development assistance,,,,999
2016,Million EUR,Gross disbursements,Official development assistance,,,,999
2017,Million EUR,Gross disbursements,Official development assistance,,,,999
2018,Million EUR,Gross disbursements,Official development assistance,,,,999
2019,Million EUR,Gross disbursements,Official development assistance,,,,999
2020,Million EUR,Gross disbursements,Official development assistance,,,,999
2021,Million EUR,Gross disbursements,Official development assistance,,,,999
2022,Million EUR,Gross disbursements,Official development assistance,,,,999
2023,Million EUR,Gross disbursements,Official development assistance,,,,999
2024,Million EUR,Gross disbursements,Official development assistance,,,,999
2010,Million EUR,Commitments,Other official flows,,,,999
2011,Million EUR,Commitments,Other official flows,,,,999
2012,Million EUR,Commitments,Other official flows,,,,999
2013,Million EUR,Commitments,Other official flows,,,,999
2014,Million EUR,Commitments,Other official flows,,,,999
2015,Million EUR,Commitments,Other official flows,,,,999
2016,Million EUR,Commitments,Other official flows,,,,999
2017,Million EUR,Commitments,Other official flows,,,,999
2018,Million EUR,Commitments,Other official flows,,,,999
2019,Million EUR,Commitments,Other official flows,,,,999
2020,Million EUR,Commitments,Other official flows,,,,999
2021,Million EUR,Commitments,Other official flows,,,,999
2022,Million EUR,Commitments,Other official flows,,,,999
2023,Million EUR,Commitments,Other official flows,,,,999
2024,Million EUR,Commitments,Other official flows,,,,999
2010,Million EUR,Gross disbursements,Other official flows,,,,999
2011,Million EUR,Gross disbursements,Other official flows,,,,999
2012,Million EUR,Gross disbursements,Other official flows,,,,999
2013,Million EUR,Gross disbursements,Other official flows,,,,999
2014,Million EUR,Gross disbursements,Other official flows,,,,999
2015,Million EUR,Gross disbursements,Other official flows,,,,999
2016,Million EUR,Gross disbursements,Other official flows,,,,999
2017,Million EUR,Gross disbursements,Other official flows,,,,999
2018,Million EUR,Gross disbursements,Other official flows,,,,999
2019,Million EUR,Gross disbursements,Other official flows,,,,999
2020,Million EUR,Gross disbursements,Other official flows,,,,999
2021,Million EUR,Gross disbursements,Other official flows,,,,999
2022,Million EUR,Gross disbursements,Other official flows,,,,999
2023,Million EUR,Gross disbursements,Other official flows,,,,999
2024,Million EUR,Gross disbursements,Other official flows,,,,999
2010,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2011,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2012,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2013,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2014,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2015,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2016,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2017,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2018,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2019,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2020,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2021,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2022,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2023,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2024,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,999
2010,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2011,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2012,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2013,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2014,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2015,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2016,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2017,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2018,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2019,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2020,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2021,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2022,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2023,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2024,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,999
2010,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2011,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2012,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2013,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2014,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2015,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2016,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2017,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2018,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2019,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2020,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2021,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2022,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2023,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2024,"Million USD, constant prices (2024)",Commitments,Other official flows,,,,999
2010,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2011,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2012,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2013,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2014,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2015,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2016,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2017,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2018,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2019,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2020,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2021,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2022,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2023,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
2024,"Million USD, constant prices (2024)",Gross disbursements,Other official flows,,,,999
