Year,Level,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,32.6
2011,,,,,33.9
2012,,,,,34.7
2013,,,,,35.5
2014,,,,,36.5
2015,,,,,37.4
2016,,,,,38.8
2017,,,,,40.1
2018,,,,,41.2
2019,,,,,42.3
2020,,,,,43.5
2021,,,,,44.3
2022,,,,,44.5
2023,,,,,45.3
2024,,,,,46.1
2010,Objectives,,,,4.2
2011,Objectives,,,,4.1
2012,Objectives,,,,2.6
2013,Objectives,,,,1.9
2014,Objectives,,,,1.6
2015,Objectives,,,,1.2
2016,Objectives,,,,0.8
2017,Objectives,,,,0.4
2018,Objectives,r,,,0.4
2019,Objectives,,,,0.2
2020,Objectives,,,,0.3
2021,Objectives,,,,0.2
2022,Objectives,,,,0.4
2023,Objectives,,,,0.2
2024,Objectives,,,,0.2
2010,Indicators,,,,18.5
2011,Indicators,,,,19.2
2012,Indicators,,,,18.5
2013,Indicators,,,,13.9
2014,Indicators,,,,14.3
2015,Indicators,,,,9.6
2016,Indicators,,,,7.3
2017,Indicators,,,,6.0
2018,Indicators,,,,4.6
2019,Indicators,,,,3.3
2020,Indicators,,,,2.6
2021,Indicators,,,,2.3
2022,Indicators,,,,1.7
2023,Indicators,,,,1.3
2024,Indicators,,,,0.8
2010,Data,,,,8.5
2011,Data,,,,7.8
2012,Data,,,,9.5
2013,Data,,,,14.1
2014,Data,,,,12.8
2015,Data,,,,16.1
2016,Data,,,,16.6
2017,Data,,,,15.6
2018,Data,,,,13.5
2019,Data,,,,11.6
2020,Data,,,,9.8
2021,Data,,,,8.4
2022,Data,,,,7.7
2023,Data,,,,6.6
2024,Data,,,,6.1
