Year,Units,Time series,Value
2010,Million EUR,Commitments,916.0
2011,Million EUR,Commitments,809.2
2012,Million EUR,Commitments,740.5
2013,Million EUR,Commitments,835.9
2014,Million EUR,Commitments,1115.5
2015,Million EUR,Commitments,1578.0
2016,Million EUR,Commitments,1278.4
2017,Million EUR,Commitments,2141.1
2018,Million EUR,Commitments,2107.3
2019,Million EUR,Commitments,2029.1
2020,Million EUR,Commitments,3225.6
2021,Million EUR,Commitments,2941.9
2010,Million EUR,Gross disbursements,675.0
2011,Million EUR,Gross disbursements,703.8
2012,Million EUR,Gross disbursements,743.5
2013,Million EUR,Gross disbursements,819.9
2014,Million EUR,Gross disbursements,929.0
2015,Million EUR,Gross disbursements,1302.0
2016,Million EUR,Gross disbursements,1210.4
2017,Million EUR,Gross disbursements,1536.8
2018,Million EUR,Gross disbursements,2150.9
2019,Million EUR,Gross disbursements,1727.2
2020,Million EUR,Gross disbursements,2395.3
2021,Million EUR,Gross disbursements,2415.8
2010,"Million USD, constant prices (2021)",Commitments,1321.7
2011,"Million USD, constant prices (2021)",Commitments,1155.1
2012,"Million USD, constant prices (2021)",Commitments,1041.6
2013,"Million USD, constant prices (2021)",Commitments,1153.1
2014,"Million USD, constant prices (2021)",Commitments,1510.4
2015,"Million USD, constant prices (2021)",Commitments,2097.9
2016,"Million USD, constant prices (2021)",Commitments,1677.3
2017,"Million USD, constant prices (2021)",Commitments,2767.4
2018,"Million USD, constant prices (2021)",Commitments,2670.2
2019,"Million USD, constant prices (2021)",Commitments,2517.6
2020,"Million USD, constant prices (2021)",Commitments,3931.2
2021,"Million USD, constant prices (2021)",Commitments,3479.0
2010,"Million USD, constant prices (2021)",Gross disbursements,973.9
2011,"Million USD, constant prices (2021)",Gross disbursements,1004.7
2012,"Million USD, constant prices (2021)",Gross disbursements,1045.7
2013,"Million USD, constant prices (2021)",Gross disbursements,1131.0
2014,"Million USD, constant prices (2021)",Gross disbursements,1258.0
2015,"Million USD, constant prices (2021)",Gross disbursements,1730.9
2016,"Million USD, constant prices (2021)",Gross disbursements,1588.0
2017,"Million USD, constant prices (2021)",Gross disbursements,1986.3
2018,"Million USD, constant prices (2021)",Gross disbursements,2725.4
2019,"Million USD, constant prices (2021)",Gross disbursements,2143.0
2020,"Million USD, constant prices (2021)",Gross disbursements,2919.2
2021,"Million USD, constant prices (2021)",Gross disbursements,2856.9
