Year,Units,Age group,Sex,Victim-Suspect Relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Per 100,000 inhabitants",,,,,,,49.03
2011,"Per 100,000 inhabitants",,,,,,,49.32
2012,"Per 100,000 inhabitants",,,,,,,49.51
2013,"Per 100,000 inhabitants",,,,,,,49.94
2014,"Per 100,000 inhabitants",,,,,,,50.13
2015,"Per 100,000 inhabitants",,,,,,,50.34
2016,"Per 100,000 inhabitants",,,,,,,51.13
2017,"Per 100,000 inhabitants",,,,,,,51.14
2018,"Per 100,000 inhabitants",,,,,,,51.74
2019,"Per 100,000 inhabitants",,,,,,,52.48
2020,"Per 100,000 inhabitants",,,,,,,53.5
2021,"Per 100,000 inhabitants",,,,,,,53.5
2022,"Per 100,000 inhabitants",,,,,,,53.5
2023,"Per 100,000 inhabitants",,,,,,,53.5
2024,"Per 100,000 inhabitants",,,,,,,56.4
2010,"Per 100,000 inhabitants",13 years and younger,,,,,,3322888.877
2011,"Per 100,000 inhabitants",13 years and younger,,,,,,3342450.778
2012,"Per 100,000 inhabitants",13 years and younger,,,,,,3355067.625
2013,"Per 100,000 inhabitants",13 years and younger,,,,,,3384336.696
2014,"Per 100,000 inhabitants",13 years and younger,,,,,,3397202.327
2015,"Per 100,000 inhabitants",13 years and younger,,,,,,3411552.304
2016,"Per 100,000 inhabitants",13 years and younger,,,,,,3465268.332
2017,"Per 100,000 inhabitants",13 years and younger,,,,,,3465463.362
2018,"Per 100,000 inhabitants",13 years and younger,,,,,,3506452.003
2019,"Per 100,000 inhabitants",13 years and younger,,,,,,3556706.333
2020,"Per 100,000 inhabitants",13 years and younger,,,,,,3625393.782
2021,"Per 100,000 inhabitants",13 years and younger,,,,,,3625393.782
2022,"Per 100,000 inhabitants",13 years and younger,,,,,,3625393.782
2023,"Per 100,000 inhabitants",13 years and younger,,,,,,3625393.782
2024,"Per 100,000 inhabitants",13 years and younger,,,,,,3819684.195
2010,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.149
2011,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.158
2012,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.164
2013,"Per 100,000 inhabitants",14 to under 18 years,,,,,,19.188
