Year,timeseries,Value
2010,penetration rate mobile communication,133.1
2011,penetration rate mobile communication,142.1
2012,penetration rate mobile communication,140.5
2013,penetration rate mobile communication,142.7
2014,penetration rate mobile communication,138.7
2015,penetration rate mobile communication,138.5
2016,penetration rate mobile communication,157.4
2017,penetration rate mobile communication,163.1
2018,penetration rate mobile communication,165.1
2010,private households with at least one mobile phone (%),88.92
2011,private households with at least one mobile phone (%),90.0
2012,private households with at least one mobile phone (%),90.34
2013,private households with at least one mobile phone (%),92.71
2014,private households with at least one mobile phone (%),93.58
2015,private households with at least one mobile phone (%),93.53
2016,private households with at least one mobile phone (%),95.1
2017,private households with at least one mobile phone (%),95.47
2018,private households with at least one mobile phone (%),96.68
2019,private households with at least one mobile phone (%),97.02
