Year,COMMENT_OBS,Sea,Series,Value
2010,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,38.7
2011,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,38.7
2012,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,41.9
2013,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,41.9
2014,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,35.5
2015,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,41.9
2016,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,45.2
2017,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,46.9
2018,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,50.0
2019,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,43.8
2020,r,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,53.1
2021,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,65.6
2010,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,36.4
2011,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,36.4
2012,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,36.4
2013,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,36.4
2014,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,31.8
2015,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,40.9
2016,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,45.5
2017,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,47.8
2018,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,52.2
2019,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,39.1
2020,r,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,52.2
2021,,Greater North Sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,65.2
2010,,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,44.4
2011,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,44.4
2012,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,55.6
2013,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,55.6
2014,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,44.4
2015,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,44.4
2016,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,44.4
2017,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,44.4
2018,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,44.4
2019,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,55.6
2020,r,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,55.6
2021,,Baltic sea,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,66.7
2010,r,,MSY examined fish stocks in all managed stocks,39.7
2011,r,,MSY examined fish stocks in all managed stocks,39.7
2012,r,,MSY examined fish stocks in all managed stocks,39.7
2013,r,,MSY examined fish stocks in all managed stocks,39.7
2014,r,,MSY examined fish stocks in all managed stocks,39.7
2015,r,,MSY examined fish stocks in all managed stocks,39.7
2016,r,,MSY examined fish stocks in all managed stocks,39.7
2017,r,,MSY examined fish stocks in all managed stocks,41.0
2018,r,,MSY examined fish stocks in all managed stocks,41.0
2019,r,,MSY examined fish stocks in all managed stocks,41.0
2020,r,,MSY examined fish stocks in all managed stocks,41.0
2021,,,MSY examined fish stocks in all managed stocks,41.0
