Year,Time series,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Data from NA from Federal Statistical Office,,…,,,
2011,Data from NA from Federal Statistical Office,,…,,,
2012,Data from NA from Federal Statistical Office,,…,,,
2013,Data from NA from Federal Statistical Office,,…,,,
2014,Data from NA from Federal Statistical Office,,…,,,
2015,Data from NA from Federal Statistical Office,,…,,,
2016,Data from NA from Federal Statistical Office,,…,,,
2017,Data from NA from Federal Statistical Office,,…,,,
2018,Data from NA from Federal Statistical Office,,…,,,
2019,Data from NA from Federal Statistical Office,,…,,,
2020,Data from NA from Federal Statistical Office,,,,,6722.0
2021,Data from NA from Federal Statistical Office,,,,,7346.0
2022,Data from NA from Federal Statistical Office,,,,,7746.0
2023,Data from NA from Federal Statistical Office,,,,,7414.0
2010,Data from LFS from Federal Statistical Office,,…,,,
2011,Data from LFS from Federal Statistical Office,,…,,,
2012,Data from LFS from Federal Statistical Office,,…,,,
2013,Data from LFS from Federal Statistical Office,,…,,,
2014,Data from LFS from Federal Statistical Office,,…,,,
2015,Data from LFS from Federal Statistical Office,,…,,,
2016,Data from LFS from Federal Statistical Office,,…,,,
2017,Data from LFS from Federal Statistical Office,,…,,,
2018,Data from LFS from Federal Statistical Office,,…,,,
2019,Data from LFS from Federal Statistical Office,,…,,,
2020,Data from LFS from Federal Statistical Office,,,,,45264.0
2021,Data from LFS from Federal Statistical Office,,,,,45513.0
2022,Data from LFS from Federal Statistical Office,,,,,44077.0
2023,Data from LFS from Federal Statistical Office,,,,,47678.0
2010,Data from LFS from Federal Statistical Office,Female,…,,,
2011,Data from LFS from Federal Statistical Office,Female,…,,,
2012,Data from LFS from Federal Statistical Office,Female,…,,,
2013,Data from LFS from Federal Statistical Office,Female,…,,,
2014,Data from LFS from Federal Statistical Office,Female,…,,,
2015,Data from LFS from Federal Statistical Office,Female,…,,,
2016,Data from LFS from Federal Statistical Office,Female,…,,,
2017,Data from LFS from Federal Statistical Office,Female,…,,,
2018,Data from LFS from Federal Statistical Office,Female,…,,,
2019,Data from LFS from Federal Statistical Office,Female,…,,,
2020,Data from LFS from Federal Statistical Office,Female,,,,24773.0
2021,Data from LFS from Federal Statistical Office,Female,,,,29873.0
2022,Data from LFS from Federal Statistical Office,Female,,,,33751.0
2023,Data from LFS from Federal Statistical Office,Female,,,,31106.0
2010,Data from LFS from Federal Statistical Office,Male,…,,,
2011,Data from LFS from Federal Statistical Office,Male,…,,,
2012,Data from LFS from Federal Statistical Office,Male,…,,,
2013,Data from LFS from Federal Statistical Office,Male,…,,,
2014,Data from LFS from Federal Statistical Office,Male,…,,,
2015,Data from LFS from Federal Statistical Office,Male,…,,,
2016,Data from LFS from Federal Statistical Office,Male,…,,,
2017,Data from LFS from Federal Statistical Office,Male,…,,,
2018,Data from LFS from Federal Statistical Office,Male,…,,,
2019,Data from LFS from Federal Statistical Office,Male,…,,,
2020,Data from LFS from Federal Statistical Office,Male,,,,59091.0
2021,Data from LFS from Federal Statistical Office,Male,,,,61658.0
2022,Data from LFS from Federal Statistical Office,Male,,,,66304.0
2023,Data from LFS from Federal Statistical Office,Male,,,,63200.0
