Year,Time series,Value
2010,ODA (gross disbursements) for poverty reduction,1033.24
2011,ODA (gross disbursements) for poverty reduction,1051.47
2012,ODA (gross disbursements) for poverty reduction,1055.99
2013,ODA (gross disbursements) for poverty reduction,1051.95
2014,ODA (gross disbursements) for poverty reduction,1364.95
2015,ODA (gross disbursements) for poverty reduction,1591.21
2016,ODA (gross disbursements) for poverty reduction,2006.14
2017,ODA (gross disbursements) for poverty reduction,1955.71
2018,ODA (gross disbursements) for poverty reduction,1984.15
2010,ODA (commitments) for poverty reduction,1117.21
2011,ODA (commitments) for poverty reduction,1362.84
2012,ODA (commitments) for poverty reduction,1983.17
2013,ODA (commitments) for poverty reduction,1673.18
2014,ODA (commitments) for poverty reduction,1612.06
2015,ODA (commitments) for poverty reduction,1855.68
2016,ODA (commitments) for poverty reduction,2030.06
2017,ODA (commitments) for poverty reduction,2512.86
2018,ODA (commitments) for poverty reduction,2771.46
