Year,Units,Time series,Value
2010,Million tonnes,Domestic material consumption (DMC),1263.0
2011,Million tonnes,Domestic material consumption (DMC),1363.0
2012,Million tonnes,Domestic material consumption (DMC),1318.0
2013,Million tonnes,Domestic material consumption (DMC),1311.0
2014,Million tonnes,Domestic material consumption (DMC),1373.0
2015,Million tonnes,Domestic material consumption (DMC),1293.0
2016,Million tonnes,Domestic material consumption (DMC),1304.0
2017,Million tonnes,Domestic material consumption (DMC),1296.0
2010,t per capita,Domestic material consumption (DMC),15.7
2011,t per capita,Domestic material consumption (DMC),17.0
2012,t per capita,Domestic material consumption (DMC),16.4
2013,t per capita,Domestic material consumption (DMC),16.3
2014,t per capita,Domestic material consumption (DMC),17.0
2015,t per capita,Domestic material consumption (DMC),15.8
2016,t per capita,Domestic material consumption (DMC),15.8
2017,t per capita,Domestic material consumption (DMC),15.7
2010,2010 = 100,Domestic material consumption (DMC) per real GDP,100.0
2011,2010 = 100,Domestic material consumption (DMC) per real GDP,103.9
2012,2010 = 100,Domestic material consumption (DMC) per real GDP,100.0
2013,2010 = 100,Domestic material consumption (DMC) per real GDP,99.0
2014,2010 = 100,Domestic material consumption (DMC) per real GDP,101.4
2015,2010 = 100,Domestic material consumption (DMC) per real GDP,93.9
2016,2010 = 100,Domestic material consumption (DMC) per real GDP,92.7
2017,2010 = 100,Domestic material consumption (DMC) per real GDP,89.9
