Year,Units,Time series,Value
2010,Million tonnes,Raw material consumption (RMC),1292.0
2011,Million tonnes,Raw material consumption (RMC),1377.0
2012,Million tonnes,Raw material consumption (RMC),1258.0
2013,Million tonnes,Raw material consumption (RMC),1274.0
2014,Million tonnes,Raw material consumption (RMC),1303.0
2010,t per capita,Raw material consumption (RMC),15.8
2011,t per capita,Raw material consumption (RMC),17.1
2012,t per capita,Raw material consumption (RMC),15.6
2013,t per capita,Raw material consumption (RMC),15.8
2014,t per capita,Raw material consumption (RMC),16.0
2010,2010 = 100,Raw material consumption (RMC) per real GDP,100.0
2011,2010 = 100,Raw material consumption (RMC) per real GDP,102.8
2012,2010 = 100,Raw material consumption (RMC) per real GDP,93.5
2013,2010 = 100,Raw material consumption (RMC) per real GDP,94.2
2014,2010 = 100,Raw material consumption (RMC) per real GDP,94.3
