Year,Time series,Availability,Value
2010,Toilet,Available,98.4
2011,Toilet,Available,99.1
2012,Toilet,Available,99.1
2013,Toilet,Available,99.9
2014,Toilet,Available,100.0
2015,Toilet,Available,99.9
2016,Toilet,Available,99.9
2017,Toilet,Available,99.9
2018,Toilet,Available,100.0
2019,Toilet,Available,99.8
2010,Bathtub or shower,Available,99.5
2011,Bathtub or shower,Available,99.9
2012,Bathtub or shower,Available,99.9
2013,Bathtub or shower,Available,100.0
2014,Bathtub or shower,Available,100.0
2015,Bathtub or shower,Available,100.0
2016,Bathtub or shower,Available,100.0
2017,Bathtub or shower,Available,100.0
2018,Bathtub or shower,Available,100.0
2019,Bathtub or shower,Available,100.0
2010,Toilet,Not available,1.6
2011,Toilet,Not available,0.9
2012,Toilet,Not available,0.9
2013,Toilet,Not available,0.1
2014,Toilet,Not available,0.0
2015,Toilet,Not available,0.1
2016,Toilet,Not available,0.1
2017,Toilet,Not available,0.1
2018,Toilet,Not available,0.0
2019,Toilet,Not available,0.2
2010,Bathtub or shower,Not available,0.5
2011,Bathtub or shower,Not available,0.1
2012,Bathtub or shower,Not available,0.1
2013,Bathtub or shower,Not available,0.0
2014,Bathtub or shower,Not available,0.0
2015,Bathtub or shower,Not available,0.0
2016,Bathtub or shower,Not available,0.0
2017,Bathtub or shower,Not available,0.0
2018,Bathtub or shower,Not available,0.0
2019,Bathtub or shower,Not available,0.0
