Year,Units,Age group,Value
2010,Percentage,Under 18 years old,0
2011,Percentage,Under 18 years old,0
2012,Percentage,Under 18 years old,0
2013,Percentage,Under 18 years old,0
2014,Percentage,Under 18 years old,0
2015,Percentage,Under 18 years old,0
2016,Percentage,Under 18 years old,0
2017,Percentage,Under 18 years old,0
2010,Number,Under 18 years old,225
2011,Number,Under 18 years old,213
2012,Number,Under 18 years old,214
2013,Number,Under 18 years old,256
2014,Number,Under 18 years old,321
2015,Number,Under 18 years old,880
2016,Number,Under 18 years old,700
2017,Number,Under 18 years old,318
2010,Percentage,Under 15 years old,0
2011,Percentage,Under 15 years old,0
2012,Percentage,Under 15 years old,0
2013,Percentage,Under 15 years old,0
2014,Percentage,Under 15 years old,0
2015,Percentage,Under 15 years old,0
2016,Percentage,Under 15 years old,0
2017,Percentage,Under 15 years old,0
