Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2011,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2012,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2013,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2014,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2015,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2016,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2017,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2018,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2019,Percentage,…,,,Manufacturing gross value added as a proportion of GDP,
2020,Percentage,,,,Manufacturing gross value added as a proportion of GDP,289724.0
2021,Percentage,,,,Manufacturing gross value added as a proportion of GDP,345255.0
2022,Percentage,,,,Manufacturing gross value added as a proportion of GDP,353567.0
2023,Percentage,,,,Manufacturing gross value added as a proportion of GDP,353567.0
2010,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2011,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2012,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2013,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2014,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2015,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2016,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2017,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2018,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2019,Percentage,…,,,Manufacturing gross value added as a proportion of total gross value added,
2020,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,270579.0
2021,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,406427.0
2022,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,377342.0
2023,Percentage,,,,Manufacturing gross value added as a proportion of total gross value added,374218.0
2010,EUR,…,,,Manufacturing gross value added per capita,
2011,EUR,…,,,Manufacturing gross value added per capita,
2012,EUR,…,,,Manufacturing gross value added per capita,
2013,EUR,…,,,Manufacturing gross value added per capita,
2014,EUR,…,,,Manufacturing gross value added per capita,
2015,EUR,…,,,Manufacturing gross value added per capita,
2016,EUR,…,,,Manufacturing gross value added per capita,
2017,EUR,…,,,Manufacturing gross value added per capita,
2018,EUR,…,,,Manufacturing gross value added per capita,
2019,EUR,…,,,Manufacturing gross value added per capita,
2020,EUR,,,,Manufacturing gross value added per capita,743998.0
2021,EUR,,,,Manufacturing gross value added per capita,1072961.0
2022,EUR,,,,Manufacturing gross value added per capita,925027.0
2023,EUR,,,,Manufacturing gross value added per capita,932114.0
