Year,Time series,Age group,Sex,Value
2010,Severely materially deprived persons,,,4.5
2011,Severely materially deprived persons,,,5.3
2012,Severely materially deprived persons,,,4.9
2013,Severely materially deprived persons,,,5.4
2014,Severely materially deprived persons,,,5.0
2015,Severely materially deprived persons,,,4.4
2016,Severely materially deprived persons,,,3.7
2017,Severely materially deprived persons,,,3.4
2018,Severely materially deprived persons,,,3.1
2019,Severely materially deprived persons,,,2.6
2020,Severely materially deprived persons,,,5.6
2021,Severely materially deprived persons,,,
2010,persons at risk of poverty or social exclusion (eu 2020 target),,,19.7
2011,persons at risk of poverty or social exclusion (eu 2020 target),,,19.9
2012,persons at risk of poverty or social exclusion (eu 2020 target),,,19.6
2013,persons at risk of poverty or social exclusion (eu 2020 target),,,20.3
2014,persons at risk of poverty or social exclusion (eu 2020 target),,,20.6
2015,persons at risk of poverty or social exclusion (eu 2020 target),,,20.0
2016,persons at risk of poverty or social exclusion (eu 2020 target),,,19.7
2017,persons at risk of poverty or social exclusion (eu 2020 target),,,19.0
2018,persons at risk of poverty or social exclusion (eu 2020 target),,,18.7
2019,persons at risk of poverty or social exclusion (eu 2020 target),,,17.4
2020,persons at risk of poverty or social exclusion (eu 2020 target),,,21.6
2021,persons at risk of poverty or social exclusion (eu 2020 target),,,
2010,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,21.7
2011,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,19.9
2012,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,18.4
2013,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,19.4
2014,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,19.6
2015,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,18.5
2016,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,19.3
2017,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,18.0
2018,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,17.3
2019,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,15.0
2020,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,22.7
2021,persons at risk of poverty or social exclusion (eu 2020 target),17 years and younger,,
2010,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,20.8
2011,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,21.3
2012,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,21.2
2013,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,22.0
2014,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,22.0
2015,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,21.3
2016,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,20.2
2017,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,19.6
2018,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,19.0
2019,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,17.7
2020,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,21.1
2021,persons at risk of poverty or social exclusion (eu 2020 target),18 to under 65 years,,
2010,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,14.8
2011,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,15.3
2012,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,15.8
2013,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,16.0
2014,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,17.4
2015,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,17.2
2016,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,18.3
2017,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,17.7
2018,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,19.0
2019,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,18.7
2020,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,22.8
2021,persons at risk of poverty or social exclusion (eu 2020 target),65 years and older,,
2010,persons at risk of poverty or social exclusion (eu 2020 target),,Female,20.9
2011,persons at risk of poverty or social exclusion (eu 2020 target),,Female,21.3
2012,persons at risk of poverty or social exclusion (eu 2020 target),,Female,21.1
2013,persons at risk of poverty or social exclusion (eu 2020 target),,Female,21.9
2014,persons at risk of poverty or social exclusion (eu 2020 target),,Female,21.8
2015,persons at risk of poverty or social exclusion (eu 2020 target),,Female,21.1
2016,persons at risk of poverty or social exclusion (eu 2020 target),,Female,21.2
2017,persons at risk of poverty or social exclusion (eu 2020 target),,Female,20.3
2018,persons at risk of poverty or social exclusion (eu 2020 target),,Female,19.8
2019,persons at risk of poverty or social exclusion (eu 2020 target),,Female,18.5
2020,persons at risk of poverty or social exclusion (eu 2020 target),,Female,22.4
2021,persons at risk of poverty or social exclusion (eu 2020 target),,Female,
2010,persons at risk of poverty or social exclusion (eu 2020 target),,Male,18.6
2011,persons at risk of poverty or social exclusion (eu 2020 target),,Male,18.5
2012,persons at risk of poverty or social exclusion (eu 2020 target),,Male,18.1
2013,persons at risk of poverty or social exclusion (eu 2020 target),,Male,18.8
2014,persons at risk of poverty or social exclusion (eu 2020 target),,Male,19.5
2015,persons at risk of poverty or social exclusion (eu 2020 target),,Male,18.8
2016,persons at risk of poverty or social exclusion (eu 2020 target),,Male,18.1
2017,persons at risk of poverty or social exclusion (eu 2020 target),,Male,17.6
2018,persons at risk of poverty or social exclusion (eu 2020 target),,Male,17.6
2019,persons at risk of poverty or social exclusion (eu 2020 target),,Male,16.3
2020,persons at risk of poverty or social exclusion (eu 2020 target),,Male,20.8
2021,persons at risk of poverty or social exclusion (eu 2020 target),,Male,
2010,severely materially and socially deprived persons,,,
2011,severely materially and socially deprived persons,,,
2012,severely materially and socially deprived persons,,,
2013,severely materially and socially deprived persons,,,
2014,severely materially and socially deprived persons,,,
2015,severely materially and socially deprived persons,,,5.7
2016,severely materially and socially deprived persons,,,4.7
2017,severely materially and socially deprived persons,,,3.7
2018,severely materially and socially deprived persons,,,3.4
2019,severely materially and socially deprived persons,,,3.0
2020,severely materially and socially deprived persons,,,4.4
2021,severely materially and socially deprived persons,,,4.3
2010,persons at risk of poverty or social exclusion (eu 2030 target),,,
2011,persons at risk of poverty or social exclusion (eu 2030 target),,,
2012,persons at risk of poverty or social exclusion (eu 2030 target),,,
2013,persons at risk of poverty or social exclusion (eu 2030 target),,,
2014,persons at risk of poverty or social exclusion (eu 2030 target),,,
2015,persons at risk of poverty or social exclusion (eu 2030 target),,,20.0
2016,persons at risk of poverty or social exclusion (eu 2030 target),,,19.8
2017,persons at risk of poverty or social exclusion (eu 2030 target),,,18.8
2018,persons at risk of poverty or social exclusion (eu 2030 target),,,18.5
2019,persons at risk of poverty or social exclusion (eu 2030 target),,,17.3
2020,persons at risk of poverty or social exclusion (eu 2030 target),,,20.4
2021,persons at risk of poverty or social exclusion (eu 2030 target),,,21.0
2010,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,
2011,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,
2012,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,
2013,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,
2014,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,
2015,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,19.3
2016,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,20.6
2017,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,18.6
2018,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,17.5
2019,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,15.4
2020,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,22.3
2021,persons at risk of poverty or social exclusion (eu 2030 target),17 years and younger,,23.7
2010,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,
2011,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,
2012,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,
2013,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,
2014,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,
2015,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,21.1
2016,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,20.1
2017,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,19.2
2018,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,18.7
2019,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,17.3
2020,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,19.6
2021,persons at risk of poverty or social exclusion (eu 2030 target),18 to under 65 years,,20.3
2010,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,
2011,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,
2012,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,
2013,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,
2014,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,
2015,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,17.1
2016,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,18.3
2017,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,17.6
2018,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,18.9
2019,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,18.8
2020,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,21.0
2021,persons at risk of poverty or social exclusion (eu 2030 target),65 years and older,,20.5
2010,persons at risk of poverty or social exclusion (eu 2030 target),,Female,
2011,persons at risk of poverty or social exclusion (eu 2030 target),,Female,
2012,persons at risk of poverty or social exclusion (eu 2030 target),,Female,
2013,persons at risk of poverty or social exclusion (eu 2030 target),,Female,
2014,persons at risk of poverty or social exclusion (eu 2030 target),,Female,
2015,persons at risk of poverty or social exclusion (eu 2030 target),,Female,21.3
2016,persons at risk of poverty or social exclusion (eu 2030 target),,Female,21.3
2017,persons at risk of poverty or social exclusion (eu 2030 target),,Female,20.1
2018,persons at risk of poverty or social exclusion (eu 2030 target),,Female,19.6
2019,persons at risk of poverty or social exclusion (eu 2030 target),,Female,18.4
2020,persons at risk of poverty or social exclusion (eu 2030 target),,Female,21.2
2021,persons at risk of poverty or social exclusion (eu 2030 target),,Female,21.7
2010,persons at risk of poverty or social exclusion (eu 2030 target),,Male,
2011,persons at risk of poverty or social exclusion (eu 2030 target),,Male,
2012,persons at risk of poverty or social exclusion (eu 2030 target),,Male,
2013,persons at risk of poverty or social exclusion (eu 2030 target),,Male,
2014,persons at risk of poverty or social exclusion (eu 2030 target),,Male,
2015,persons at risk of poverty or social exclusion (eu 2030 target),,Male,18.6
2016,persons at risk of poverty or social exclusion (eu 2030 target),,Male,18.3
2017,persons at risk of poverty or social exclusion (eu 2030 target),,Male,17.4
2018,persons at risk of poverty or social exclusion (eu 2030 target),,Male,17.4
2019,persons at risk of poverty or social exclusion (eu 2030 target),,Male,16.1
2020,persons at risk of poverty or social exclusion (eu 2030 target),,Male,19.5
2021,persons at risk of poverty or social exclusion (eu 2030 target),,Male,20.2
