Year,Time series,Age of victims,Gender of victims,Value
2010,Physical harassment,,,28870.0
2011,Physical harassment,,,26876.0
2012,Physical harassment,,,26360.0
2013,Physical harassment,,,25517.0
2014,Physical harassment,,,23303.0
2015,Physical harassment,,,21070.0
2016,Physical harassment,,,19949.0
2017,Physical harassment,,,29980.0
2018,Physical harassment,,,34907.0
2019,Physical harassment,,,34643.0
2020,Physical harassment,,,34666.0
2010,Physical harassment,,Female,22909.0
2011,Physical harassment,,Female,21414.0
2012,Physical harassment,,Female,21217.0
2013,Physical harassment,,Female,20455.0
2014,Physical harassment,,Female,18682.0
2015,Physical harassment,,Female,16941.0
2016,Physical harassment,,Female,16115.0
2017,Physical harassment,,Female,25609.0
2018,Physical harassment,,Female,30104.0
2019,Physical harassment,,Female,29838.0
2020,Physical harassment,,Female,29557.0
2010,Physical harassment,,Male,5961.0
2011,Physical harassment,,Male,5462.0
2012,Physical harassment,,Male,5143.0
2013,Physical harassment,,Male,5062.0
2014,Physical harassment,,Male,4621.0
2015,Physical harassment,,Male,4129.0
2016,Physical harassment,,Male,3834.0
2017,Physical harassment,,Male,4371.0
2018,Physical harassment,,Male,4803.0
2019,Physical harassment,,Male,4805.0
2020,Physical harassment,,Male,5109.0
2010,Physical harassment,13 years and younger,,443.0
2011,Physical harassment,13 years and younger,,416.0
2012,Physical harassment,13 years and younger,,432.0
2013,Physical harassment,13 years and younger,,427.0
2014,Physical harassment,13 years and younger,,377.0
2015,Physical harassment,13 years and younger,,343.0
2016,Physical harassment,13 years and younger,,336.0
2017,Physical harassment,13 years and younger,,1122.0
2018,Physical harassment,13 years and younger,,1568.0
2019,Physical harassment,13 years and younger,,1675.0
2020,Physical harassment,13 years and younger,,1503.0
2010,Physical harassment,13 years and younger,Female,272.0
2011,Physical harassment,13 years and younger,Female,263.0
2012,Physical harassment,13 years and younger,Female,310.0
2013,Physical harassment,13 years and younger,Female,273.0
2014,Physical harassment,13 years and younger,Female,260.0
2015,Physical harassment,13 years and younger,Female,221.0
2016,Physical harassment,13 years and younger,Female,221.0
2017,Physical harassment,13 years and younger,Female,901.0
2018,Physical harassment,13 years and younger,Female,1335.0
2019,Physical harassment,13 years and younger,Female,1380.0
2020,Physical harassment,13 years and younger,Female,1175.0
2010,Physical harassment,13 years and younger,Male,171.0
2011,Physical harassment,13 years and younger,Male,153.0
2012,Physical harassment,13 years and younger,Male,122.0
2013,Physical harassment,13 years and younger,Male,154.0
2014,Physical harassment,13 years and younger,Male,117.0
2015,Physical harassment,13 years and younger,Male,122.0
2016,Physical harassment,13 years and younger,Male,115.0
2017,Physical harassment,13 years and younger,Male,221.0
2018,Physical harassment,13 years and younger,Male,233.0
2019,Physical harassment,13 years and younger,Male,295.0
2020,Physical harassment,13 years and younger,Male,328.0
2010,Physical harassment,14 to under 18 years,,1289.0
2011,Physical harassment,14 to under 18 years,,1227.0
2012,Physical harassment,14 to under 18 years,,1101.0
2013,Physical harassment,14 to under 18 years,,1143.0
2014,Physical harassment,14 to under 18 years,,1063.0
2015,Physical harassment,14 to under 18 years,,817.0
2016,Physical harassment,14 to under 18 years,,806.0
2017,Physical harassment,14 to under 18 years,,3347.0
2018,Physical harassment,14 to under 18 years,,4355.0
2019,Physical harassment,14 to under 18 years,,4414.0
2020,Physical harassment,14 to under 18 years,,4043.0
2010,Physical harassment,14 to under 18 years,Female,1132.0
2011,Physical harassment,14 to under 18 years,Female,1087.0
2012,Physical harassment,14 to under 18 years,Female,991.0
2013,Physical harassment,14 to under 18 years,Female,1015.0
2014,Physical harassment,14 to under 18 years,Female,943.0
2015,Physical harassment,14 to under 18 years,Female,716.0
2016,Physical harassment,14 to under 18 years,Female,710.0
2017,Physical harassment,14 to under 18 years,Female,3085.0
2018,Physical harassment,14 to under 18 years,Female,4033.0
2019,Physical harassment,14 to under 18 years,Female,4051.0
2020,Physical harassment,14 to under 18 years,Female,3680.0
2010,Physical harassment,14 to under 18 years,Male,157.0
2011,Physical harassment,14 to under 18 years,Male,140.0
2012,Physical harassment,14 to under 18 years,Male,110.0
2013,Physical harassment,14 to under 18 years,Male,128.0
2014,Physical harassment,14 to under 18 years,Male,120.0
2015,Physical harassment,14 to under 18 years,Male,101.0
2016,Physical harassment,14 to under 18 years,Male,96.0
2017,Physical harassment,14 to under 18 years,Male,262.0
2018,Physical harassment,14 to under 18 years,Male,322.0
2019,Physical harassment,14 to under 18 years,Male,363.0
2020,Physical harassment,14 to under 18 years,Male,363.0
2010,Physical harassment,18 to under 21 years,,2467.0
2011,Physical harassment,18 to under 21 years,,2202.0
2012,Physical harassment,18 to under 21 years,,2036.0
2013,Physical harassment,18 to under 21 years,,1769.0
2014,Physical harassment,18 to under 21 years,,1654.0
2015,Physical harassment,18 to under 21 years,,1402.0
2016,Physical harassment,18 to under 21 years,,1253.0
2017,Physical harassment,18 to under 21 years,,2956.0
2018,Physical harassment,18 to under 21 years,,3815.0
2019,Physical harassment,18 to under 21 years,,3569.0
2020,Physical harassment,18 to under 21 years,,3541.0
2010,Physical harassment,18 to under 21 years,Female,2185.0
2011,Physical harassment,18 to under 21 years,Female,1946.0
2012,Physical harassment,18 to under 21 years,Female,1804.0
2013,Physical harassment,18 to under 21 years,Female,1586.0
2014,Physical harassment,18 to under 21 years,Female,1477.0
2015,Physical harassment,18 to under 21 years,Female,1265.0
2016,Physical harassment,18 to under 21 years,Female,1136.0
2017,Physical harassment,18 to under 21 years,Female,2763.0
2018,Physical harassment,18 to under 21 years,Female,3522.0
2019,Physical harassment,18 to under 21 years,Female,3290.0
2020,Physical harassment,18 to under 21 years,Female,3268.0
2010,Physical harassment,18 to under 21 years,Male,282.0
2011,Physical harassment,18 to under 21 years,Male,256.0
2012,Physical harassment,18 to under 21 years,Male,232.0
2013,Physical harassment,18 to under 21 years,Male,183.0
2014,Physical harassment,18 to under 21 years,Male,177.0
2015,Physical harassment,18 to under 21 years,Male,137.0
2016,Physical harassment,18 to under 21 years,Male,117.0
2017,Physical harassment,18 to under 21 years,Male,193.0
2018,Physical harassment,18 to under 21 years,Male,293.0
2019,Physical harassment,18 to under 21 years,Male,279.0
2020,Physical harassment,18 to under 21 years,Male,273.0
2010,Physical harassment,21 to under 60 years,,23019.0
2011,Physical harassment,21 to under 60 years,,21536.0
2012,Physical harassment,21 to under 60 years,,21296.0
2013,Physical harassment,21 to under 60 years,,20738.0
2014,Physical harassment,21 to under 60 years,,18814.0
2015,Physical harassment,21 to under 60 years,,17239.0
2016,Physical harassment,21 to under 60 years,,16303.0
2017,Physical harassment,21 to under 60 years,,21108.0
2018,Physical harassment,21 to under 60 years,,23526.0
2019,Physical harassment,21 to under 60 years,,23340.0
2020,Physical harassment,21 to under 60 years,,23889.0
2010,Physical harassment,21 to under 60 years,Female,18342.0
2011,Physical harassment,21 to under 60 years,Female,17238.0
2012,Physical harassment,21 to under 60 years,Female,17207.0
2013,Physical harassment,21 to under 60 years,Female,16679.0
2014,Physical harassment,21 to under 60 years,Female,15118.0
2015,Physical harassment,21 to under 60 years,Female,13916.0
2016,Physical harassment,21 to under 60 years,Female,13260.0
2017,Physical harassment,21 to under 60 years,Female,17822.0
2018,Physical harassment,21 to under 60 years,Female,20058.0
2019,Physical harassment,21 to under 60 years,Female,19927.0
2020,Physical harassment,21 to under 60 years,Female,20226.0
2010,Physical harassment,21 to under 60 years,Male,4677.0
2011,Physical harassment,21 to under 60 years,Male,4298.0
2012,Physical harassment,21 to under 60 years,Male,4089.0
2013,Physical harassment,21 to under 60 years,Male,4059.0
2014,Physical harassment,21 to under 60 years,Male,3696.0
2015,Physical harassment,21 to under 60 years,Male,3323.0
2016,Physical harassment,21 to under 60 years,Male,3043.0
2017,Physical harassment,21 to under 60 years,Male,3286.0
2018,Physical harassment,21 to under 60 years,Male,3468.0
2019,Physical harassment,21 to under 60 years,Male,3413.0
2020,Physical harassment,21 to under 60 years,Male,3663.0
2010,Physical harassment,60 years and older,,1652.0
2011,Physical harassment,60 years and older,,1495.0
2012,Physical harassment,60 years and older,,1495.0
2013,Physical harassment,60 years and older,,1440.0
