Year,Units,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"yes=1, no=0",,,,,,1
2011,"yes=1, no=0",,,,,,1
2012,"yes=1, no=0",,,,,,1
2013,"yes=1, no=0",,,,,,1
2014,"yes=1, no=0",,,,,,1
2015,"yes=1, no=0",,,,,,1
2016,"yes=1, no=0",,,,,,1
2017,"yes=1, no=0",,,,,,1
2018,"yes=1, no=0",,,,,,1
2019,"yes=1, no=0",,,,,,1
2020,"yes=1, no=0",,,,,,1
2021,"yes=1, no=0",,,,,,1
2022,"yes=1, no=0",,,,,,1
2023,"yes=1, no=0",,,,,,1
2024,"yes=1, no=0",,,,,,1
2025,"yes=1, no=0",,,,,,1
2026,"yes=1, no=0",,,,,,1
2010,"yes=1, no=0",,,,,,0
2011,"yes=1, no=0",,,,,,0
2012,"yes=1, no=0",,,,,,0
2013,"yes=1, no=0",,,,,,0
2014,"yes=1, no=0",,,,,,0
2015,"yes=1, no=0",,,,,,0
2016,"yes=1, no=0",,,,,,1
2017,"yes=1, no=0",,,,,,1
2018,"yes=1, no=0",,,,,,1
2019,"yes=1, no=0",,,,,,1
2020,"yes=1, no=0",,,,,,1
2021,"yes=1, no=0",,,,,,1
2022,"yes=1, no=0",,,,,,1
2023,"yes=1, no=0",,,,,,1
2024,"yes=1, no=0",,,,,,1
2025,"yes=1, no=0",,,,,,1
2026,"yes=1, no=0",,,,,,1
2010,"yes=1, no=0",,,,,,0
2011,"yes=1, no=0",,,,,,0
2012,"yes=1, no=0",,,,,,0
2013,"yes=1, no=0",,,,,,0
2014,"yes=1, no=0",,,,,,0
2015,"yes=1, no=0",,,,,,0
2016,"yes=1, no=0",,,,,,1
2017,"yes=1, no=0",,,,,,1
2018,"yes=1, no=0",,,,,,1
2019,"yes=1, no=0",,,,,,1
2020,"yes=1, no=0",,,,,,1
2021,"yes=1, no=0",,,,,,1
2022,"yes=1, no=0",,,,,,1
2023,"yes=1, no=0",,,,,,1
2024,"yes=1, no=0",,,,,,1
2025,"yes=1, no=0",,,,,,1
2026,"yes=1, no=0",,,,,,1
2010,"yes=1, no=0",,,,,,1
2011,"yes=1, no=0",,,,,,1
2012,"yes=1, no=0",,,,,,1
2013,"yes=1, no=0",,,,,,1
2014,"yes=1, no=0",,,,,,1
2015,"yes=1, no=0",,,,,,1
2016,"yes=1, no=0",,,,,,1
2017,"yes=1, no=0",,,,,,1
2018,"yes=1, no=0",,,,,,1
2019,"yes=1, no=0",,,,,,1
2020,"yes=1, no=0",,,,,,1
2021,"yes=1, no=0",,,,,,1
2022,"yes=1, no=0",,,,,,1
2023,"yes=1, no=0",,,,,,1
2024,"yes=1, no=0",,,,,,1
2025,"yes=1, no=0",,,,,,1
2026,"yes=1, no=0",,,,,,1
2010,Cumulative number,,,,,SMTA received by Germany,1495
2011,Cumulative number,,,,,SMTA received by Germany,2687
2012,Cumulative number,,,,,SMTA received by Germany,3916
2013,Cumulative number,,,,,SMTA received by Germany,5034
2014,Cumulative number,,,,,SMTA received by Germany,6089
2015,Cumulative number,,,,,SMTA received by Germany,7311
2016,Cumulative number,,,,,SMTA received by Germany,8367
2017,Cumulative number,,,,,SMTA received by Germany,8754
2018,Cumulative number,,,,,SMTA received by Germany,9153
2019,Cumulative number,,,,,SMTA received by Germany,9518
2020,Cumulative number,,,,,SMTA received by Germany,9903
2021,Cumulative number,,,,,SMTA received by Germany,10564
2022,Cumulative number,,,,,SMTA received by Germany,11398
2023,Cumulative number,,,,,SMTA received by Germany,13261
2024,Cumulative number,,,,,SMTA received by Germany,15195
2025,Cumulative number,,,,,SMTA received by Germany,16574
2026,Cumulative number,,p,,,SMTA received by Germany,16677
2010,Cumulative number,Commercial company,‒,,,SMTA received by Germany,0
2011,Cumulative number,Commercial company,‒,,,SMTA received by Germany,0
2012,Cumulative number,Commercial company,‒,,,SMTA received by Germany,0
2013,Cumulative number,Commercial company,‒,,,SMTA received by Germany,0
2014,Cumulative number,Commercial company,‒,,,SMTA received by Germany,0
