Year,Units,timeseries,presentation,Value
2010,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,
2011,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,6.8
2012,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,2.0
2013,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,1.6
2014,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,1.1
2015,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,0.3
2016,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,0.9
2017,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,1.6
2018,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,2.3
2019,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,1.9
2020,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,
2021,no unit,ratio of land consumption rate to population growth rate (year-to-year),annual values,4.2
2010,2015 = 100,proportion of settlement and transport areas to population,annual values,99.6
2011,2015 = 100,proportion of settlement and transport areas to population,annual values,100.0
2012,2015 = 100,proportion of settlement and transport areas to population,annual values,100.3
2013,2015 = 100,proportion of settlement and transport areas to population,annual values,100.5
2014,2015 = 100,proportion of settlement and transport areas to population,annual values,100.7
2015,2015 = 100,proportion of settlement and transport areas to population,annual values,100.0
2016,2015 = 100,proportion of settlement and transport areas to population,annual values,100.0
2017,2015 = 100,proportion of settlement and transport areas to population,annual values,100.1
2018,2015 = 100,proportion of settlement and transport areas to population,annual values,100.5
2019,2015 = 100,proportion of settlement and transport areas to population,annual values,100.7
2020,2015 = 100,proportion of settlement and transport areas to population,annual values,101.1
2021,2015 = 100,proportion of settlement and transport areas to population,annual values,101.4
2010,percentage,land consumption rate,annual values,0.6
2011,percentage,land consumption rate,annual values,0.9
2012,percentage,land consumption rate,annual values,0.5
2013,percentage,land consumption rate,annual values,0.5
2014,percentage,land consumption rate,annual values,0.6
2015,percentage,land consumption rate,annual values,0.4
2016,percentage,land consumption rate,annual values,0.4
2017,percentage,land consumption rate,annual values,0.5
2018,percentage,land consumption rate,annual values,0.6
2019,percentage,land consumption rate,annual values,0.3
2020,percentage,land consumption rate,annual values,0.4
2021,percentage,land consumption rate,annual values,0.4
2010,percentage,population growth rate,annual values,-0.1
2011,percentage,population growth rate,annual values,0.1
2012,percentage,population growth rate,annual values,0.2
2013,percentage,population growth rate,annual values,0.3
2014,percentage,population growth rate,annual values,0.5
2015,percentage,population growth rate,annual values,1.2
2016,percentage,population growth rate,annual values,0.4
2017,percentage,population growth rate,annual values,0.3
2018,percentage,population growth rate,annual values,0.3
2019,percentage,population growth rate,annual values,0.2
2020,percentage,population growth rate,annual values,0.0
2021,percentage,population growth rate,annual values,0.1
2010,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,
2011,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,
2012,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,37.1
2013,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,4.0
2014,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,2.0
2015,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,0.8
2016,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,0.7
2017,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,0.7
2018,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,0.8
2019,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,1.5
2020,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,2.5
2021,no unit,ratio of land consumption rate to population growth rate (year-to-year),moving four-year average,3.4
2010,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.4
2011,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.0
2012,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.3
2013,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.5
2014,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.1
2015,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.0
2016,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,99.8
2017,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,99.7
2018,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,99.6
2019,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,99.8
2020,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.0
2021,2015 = 100,proportion of settlement and transport areas to population,moving four-year average,100.4
2010,percentage,land consumption rate,moving four-year average,
2011,percentage,land consumption rate,moving four-year average,
2012,percentage,land consumption rate,moving four-year average,0.6
2013,percentage,land consumption rate,moving four-year average,0.6
2014,percentage,land consumption rate,moving four-year average,0.6
2015,percentage,land consumption rate,moving four-year average,0.5
2016,percentage,land consumption rate,moving four-year average,0.5
2017,percentage,land consumption rate,moving four-year average,0.5
2018,percentage,land consumption rate,moving four-year average,0.5
2019,percentage,land consumption rate,moving four-year average,0.5
2020,percentage,land consumption rate,moving four-year average,0.5
2021,percentage,land consumption rate,moving four-year average,0.5
2010,percentage,population growth rate,moving four-year average,
2011,percentage,population growth rate,moving four-year average,
2012,percentage,population growth rate,moving four-year average,0.0
2013,percentage,population growth rate,moving four-year average,0.2
2014,percentage,population growth rate,moving four-year average,0.3
2015,percentage,population growth rate,moving four-year average,0.6
2016,percentage,population growth rate,moving four-year average,0.6
2017,percentage,population growth rate,moving four-year average,0.6
2018,percentage,population growth rate,moving four-year average,0.6
2019,percentage,population growth rate,moving four-year average,0.3
2020,percentage,population growth rate,moving four-year average,0.2
2021,percentage,population growth rate,moving four-year average,0.1
