Year,Units,measurement parameter,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments,official development assistance,,,,999
2011,million eur,commitments,official development assistance,,,,999
2012,million eur,commitments,official development assistance,,,,999
2013,million eur,commitments,official development assistance,,,,999
2014,million eur,commitments,official development assistance,,,,999
2015,million eur,commitments,official development assistance,,,,999
2016,million eur,commitments,official development assistance,,,,999
2017,million eur,commitments,official development assistance,,,,999
2018,million eur,commitments,official development assistance,,,,999
2019,million eur,commitments,official development assistance,,,,999
2020,million eur,commitments,official development assistance,,,,999
2021,million eur,commitments,official development assistance,,,,999
2022,million eur,commitments,official development assistance,,,,999
2023,million eur,commitments,official development assistance,,,,999
2024,million eur,commitments,official development assistance,,,,999
2010,million eur,gross disbursements,official development assistance,,,,999
2011,million eur,gross disbursements,official development assistance,,,,999
2012,million eur,gross disbursements,official development assistance,,,,999
2013,million eur,gross disbursements,official development assistance,,,,999
2014,million eur,gross disbursements,official development assistance,,,,999
2015,million eur,gross disbursements,official development assistance,,,,999
2016,million eur,gross disbursements,official development assistance,,,,999
2017,million eur,gross disbursements,official development assistance,,,,999
2018,million eur,gross disbursements,official development assistance,,,,999
2019,million eur,gross disbursements,official development assistance,,,,999
2020,million eur,gross disbursements,official development assistance,,,,999
2021,million eur,gross disbursements,official development assistance,,,,999
2022,million eur,gross disbursements,official development assistance,,,,999
2023,million eur,gross disbursements,official development assistance,,,,999
2024,million eur,gross disbursements,official development assistance,,,,999
2010,million eur,commitments,other official flows,,,,999
2011,million eur,commitments,other official flows,,,,999
2012,million eur,commitments,other official flows,,,,999
2013,million eur,commitments,other official flows,,,,999
2014,million eur,commitments,other official flows,,,,999
2015,million eur,commitments,other official flows,,,,999
2016,million eur,commitments,other official flows,,,,999
2017,million eur,commitments,other official flows,,,,999
2018,million eur,commitments,other official flows,,,,999
2019,million eur,commitments,other official flows,,,,999
2020,million eur,commitments,other official flows,,,,999
2021,million eur,commitments,other official flows,,,,999
2022,million eur,commitments,other official flows,,,,999
2023,million eur,commitments,other official flows,,,,999
2024,million eur,commitments,other official flows,,,,999
2010,million eur,gross disbursements,other official flows,,,,999
2011,million eur,gross disbursements,other official flows,,,,999
2012,million eur,gross disbursements,other official flows,,,,999
2013,million eur,gross disbursements,other official flows,,,,999
2014,million eur,gross disbursements,other official flows,,,,999
2015,million eur,gross disbursements,other official flows,,,,999
2016,million eur,gross disbursements,other official flows,,,,999
2017,million eur,gross disbursements,other official flows,,,,999
2018,million eur,gross disbursements,other official flows,,,,999
2019,million eur,gross disbursements,other official flows,,,,999
2020,million eur,gross disbursements,other official flows,,,,999
2021,million eur,gross disbursements,other official flows,,,,999
2022,million eur,gross disbursements,other official flows,,,,999
2023,million eur,gross disbursements,other official flows,,,,999
2024,million eur,gross disbursements,other official flows,,,,999
2010,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2011,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2012,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2013,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2014,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2015,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2016,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2017,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2018,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2019,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2020,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2021,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2022,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2023,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2024,"million usd, constant prices (2024)",commitments,official development assistance,,,,999
2010,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2011,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2012,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2013,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2014,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2015,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2016,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2017,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2018,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2019,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2020,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2021,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2022,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2023,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2024,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,999
2010,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2011,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2012,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2013,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2014,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2015,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2016,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2017,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2018,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2019,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2020,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2021,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2022,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2023,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2024,"million usd, constant prices (2024)",commitments,other official flows,,,,999
2010,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2011,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2012,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2013,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2014,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2015,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2016,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2017,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2018,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2019,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2020,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2021,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2022,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2023,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
2024,"million usd, constant prices (2024)",gross disbursements,other official flows,,,,999
