Year,Zeitreihe,Value
2010,Penetrationsrate Mobilfunk,
2011,Penetrationsrate Mobilfunk,
2012,Penetrationsrate Mobilfunk,120.5
2013,Penetrationsrate Mobilfunk,127.9
2014,Penetrationsrate Mobilfunk,126.4
2015,Penetrationsrate Mobilfunk,129.9
2016,Penetrationsrate Mobilfunk,132.6
2017,Penetrationsrate Mobilfunk,132.5
2018,Penetrationsrate Mobilfunk,129.5
2019,Penetrationsrate Mobilfunk,128.8
2020,Penetrationsrate Mobilfunk,129.2
2021,Penetrationsrate Mobilfunk,
2010,private households with at least one mobile phone,88.9
2011,private households with at least one mobile phone,90.0
2012,private households with at least one mobile phone,90.3
2013,private households with at least one mobile phone,92.7
2014,private households with at least one mobile phone,93.6
2015,private households with at least one mobile phone,93.5
2016,private households with at least one mobile phone,95.1
2017,private households with at least one mobile phone,95.5
2018,private households with at least one mobile phone,96.7
2019,private households with at least one mobile phone,97.0
2020,private households with at least one mobile phone,97.5
2021,private households with at least one mobile phone,97.6
