Year,Units,Stufen der Lebensmittelkette,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,1 000 Tonnen,,,,,3.3
2011,1 000 Tonnen,,,,,2.9
2012,1 000 Tonnen,,,,,2.4
2013,1 000 Tonnen,,,,,3.0
2014,1 000 Tonnen,,,,,2.3
2015,1 000 Tonnen,,,,,2.4
2016,1 000 Tonnen,,,,,2.2
2017,1 000 Tonnen,,,,,2.4
2018,1 000 Tonnen,,,,,2.0
2019,1 000 Tonnen,,,,,2.9
2020,1 000 Tonnen,,,,,2.8
2021,1 000 Tonnen,,,,,2.5
2022,1 000 Tonnen,,,,,2.6
2023,1 000 Tonnen,,,,,3.9
2024,1 000 Tonnen,,|,,,5.0
2010,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,39.8
2011,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,38.3
2012,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,34.3
2013,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,35.7
2014,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,33.0
2015,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,25.5
2016,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,25.1
2017,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,26.1
2018,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,25.6
2019,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,26.8
2020,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,24.8
2021,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,26.8
2022,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,27.3
2023,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,29.9
2024,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,|,,,32.9
2010,1 000 Tonnen,Private Haushalte,,,,71.8
2011,1 000 Tonnen,Private Haushalte,,,,69.7
2012,1 000 Tonnen,Private Haushalte,,,,48.2
2013,1 000 Tonnen,Private Haushalte,,,,65.1
2014,1 000 Tonnen,Private Haushalte,,,,60.2
2015,1 000 Tonnen,Private Haushalte,,,,45.9
2016,1 000 Tonnen,Private Haushalte,,,,46.0
2017,1 000 Tonnen,Private Haushalte,,,,47.2
2018,1 000 Tonnen,Private Haushalte,,,,48.2
2019,1 000 Tonnen,Private Haushalte,,,,47.6
2020,1 000 Tonnen,Private Haushalte,,,,42.5
2021,1 000 Tonnen,Private Haushalte,,,,46.2
2022,1 000 Tonnen,Private Haushalte,,,,47.0
2023,1 000 Tonnen,Private Haushalte,,,,52.3
2024,1 000 Tonnen,Private Haushalte,|,,,54.9
2010,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,9.5
2011,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,8.5
2012,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,5.1
2013,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,7.8
2014,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,7.3
2015,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,6.1
2016,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,5.8
2017,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,6.7
2018,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,4.6
2019,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,7.4
2020,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,8.1
2021,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,8.5
2022,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,8.8
2023,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,8.8
2024,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,|,,,12.4
2010,Kilogramm pro Kopf,,,,,87.1
2011,Kilogramm pro Kopf,,,,,80.7
2012,Kilogramm pro Kopf,,,,,78.4
2013,Kilogramm pro Kopf,,,,,71.7
2014,Kilogramm pro Kopf,,,,,68.0
2015,Kilogramm pro Kopf,,,,,56.5
2016,Kilogramm pro Kopf,,,,,48.0
2017,Kilogramm pro Kopf,,,,,50.6
2018,Kilogramm pro Kopf,,,,,55.5
2019,Kilogramm pro Kopf,,,,,49.4
2020,Kilogramm pro Kopf,,,,,54.7
2021,Kilogramm pro Kopf,,,,,56.7
2022,Kilogramm pro Kopf,,,,,55.0
2023,Kilogramm pro Kopf,,,,,58.1
2024,Kilogramm pro Kopf,,|,,,65.8
2010,Kilogramm pro Kopf,Private Haushalte,,,,158.1
2011,Kilogramm pro Kopf,Private Haushalte,,,,146.2
2012,Kilogramm pro Kopf,Private Haushalte,,,,142.5
2013,Kilogramm pro Kopf,Private Haushalte,,,,131.9
2014,Kilogramm pro Kopf,Private Haushalte,,,,125.1
2015,Kilogramm pro Kopf,Private Haushalte,,,,105.4
2016,Kilogramm pro Kopf,Private Haushalte,,,,91.8
2017,Kilogramm pro Kopf,Private Haushalte,,,,96.9
2018,Kilogramm pro Kopf,Private Haushalte,,,,104.3
2019,Kilogramm pro Kopf,Private Haushalte,,,,93.4
2020,Kilogramm pro Kopf,Private Haushalte,,,,103.6
2021,Kilogramm pro Kopf,Private Haushalte,,,,103.8
2022,Kilogramm pro Kopf,Private Haushalte,,,,101.3
2023,Kilogramm pro Kopf,Private Haushalte,,,,103.6
2024,Kilogramm pro Kopf,Private Haushalte,|,,,119.4
2010,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,19.4
2011,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,18.3
2012,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,17.4
2013,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,14.5
2014,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,14.2
2015,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,10.7
2016,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,8.5
2017,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,9.0
2018,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,11.8
2019,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,9.6
2020,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,10.1
2021,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,13.1
2022,Kilogramm pro Kopf,Einzelhandel und andere Formen des Vertriebs,,,,11.8
