Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2011,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2012,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2013,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2014,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2015,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2016,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2017,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2018,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2019,a) Zweigstellen von Zahlungsverkehrsdienstleistern,…,,,
2020,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,433154.0
2021,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,458101.0
2022,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,493938.0
2023,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,498001.0
2010,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2011,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2012,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2013,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2014,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2015,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2016,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2017,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2018,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2019,b) Bankautomaten von inländischen Zahlungsdienstleistern,…,,,
2020,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,521462.0
2021,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,691160.0
2022,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,667494.0
2023,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,664668.0
