Year,Rechtsgebiet,Value
2018,Ehe und Familie,100.0
2019,Ehe und Familie,
2020,Ehe und Familie,100.0
2018,Erwerbstätigkeit und wirtschaftlicher Nutzen,100.0
2019,Erwerbstätigkeit und wirtschaftlicher Nutzen,
2020,Erwerbstätigkeit und wirtschaftlicher Nutzen,100.0
2018,Gewalt gegen Frauen,83.0
2019,Gewalt gegen Frauen,
2020,Gewalt gegen Frauen,83.0
2018,Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,70.0
2019,Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,
2020,Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,70.0
