Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"ja=1, nein=0",‒,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,0
2011,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2012,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2013,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2014,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2015,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2016,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2017,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2018,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2019,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2020,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2021,"ja=1, nein=0",‒,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,0
2022,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2023,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2024,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2025,"ja=1, nein=0",,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2010,Prozent,s,,,Registrierung der Geburten,100
2011,Prozent,s,,,Registrierung der Geburten,100
2012,Prozent,s,,,Registrierung der Geburten,100
2013,Prozent,s,,,Registrierung der Geburten,100
2014,Prozent,s,,,Registrierung der Geburten,100
2015,Prozent,s,,,Registrierung der Geburten,100
2016,Prozent,s,,,Registrierung der Geburten,100
2017,Prozent,s,,,Registrierung der Geburten,100
2018,Prozent,s,,,Registrierung der Geburten,100
2019,Prozent,s,,,Registrierung der Geburten,100
2020,Prozent,s,,,Registrierung der Geburten,100
2021,Prozent,s,,,Registrierung der Geburten,100
2022,Prozent,s,,,Registrierung der Geburten,100
2023,Prozent,s,,,Registrierung der Geburten,100
2024,Prozent,s,,,Registrierung der Geburten,100
2025,Prozent,s,,,Registrierung der Geburten,100
2010,Prozent,s,,,Registrierung der Sterbefälle,100
2011,Prozent,s,,,Registrierung der Sterbefälle,100
2012,Prozent,s,,,Registrierung der Sterbefälle,100
2013,Prozent,s,,,Registrierung der Sterbefälle,100
2014,Prozent,s,,,Registrierung der Sterbefälle,100
2015,Prozent,s,,,Registrierung der Sterbefälle,100
2016,Prozent,s,,,Registrierung der Sterbefälle,100
2017,Prozent,s,,,Registrierung der Sterbefälle,100
2018,Prozent,s,,,Registrierung der Sterbefälle,100
2019,Prozent,s,,,Registrierung der Sterbefälle,100
2020,Prozent,s,,,Registrierung der Sterbefälle,100
2021,Prozent,s,,,Registrierung der Sterbefälle,100
2022,Prozent,s,,,Registrierung der Sterbefälle,100
2023,Prozent,s,,,Registrierung der Sterbefälle,100
2024,Prozent,s,,,Registrierung der Sterbefälle,100
2025,Prozent,s,,,Registrierung der Sterbefälle,100
