Year,Units,Messgröße,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2011,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2012,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2013,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2014,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2015,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2016,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2017,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2018,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2019,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2020,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2021,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2022,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2023,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2024,Millionen EUR,Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2010,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2011,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2012,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2013,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2014,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2015,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2016,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2017,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2018,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2019,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2020,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2021,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2022,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2023,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2024,Millionen EUR,Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2010,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2011,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2012,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2013,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2014,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2015,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2016,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2017,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2018,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2019,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2020,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2021,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2022,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2023,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2024,Millionen EUR,Zusagen,Sonstige öffentliche Leistungen,,,,999
2010,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2011,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2012,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2013,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2014,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2015,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2016,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2017,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2018,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2019,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2020,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2021,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2022,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2023,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2024,Millionen EUR,Bruttoentwicklungsausgaben,Sonstige öffentliche Leistungen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2012,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2017,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Zusagen,Öffentliche Entwicklungsleistungen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2012,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Bruttoentwicklungsausgaben,Öffentliche Entwicklungsleistungen,,,,999
