Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen (ODA),…,,,
2011,Millionen EUR,Zusagen (ODA),…,,,
2012,Millionen EUR,Zusagen (ODA),…,,,
2013,Millionen EUR,Zusagen (ODA),…,,,
2014,Millionen EUR,Zusagen (ODA),…,,,
2015,Millionen EUR,Zusagen (ODA),…,,,
2016,Millionen EUR,Zusagen (ODA),…,,,
2017,Millionen EUR,Zusagen (ODA),…,,,
2018,Millionen EUR,Zusagen (ODA),…,,,
2019,Millionen EUR,Zusagen (ODA),…,,,
2020,Millionen EUR,Zusagen (ODA),,,,8614.0
2021,Millionen EUR,Zusagen (ODA),,,,8756.0
2022,Millionen EUR,Zusagen (ODA),,,,9206.0
2023,Millionen EUR,Zusagen (ODA),,,,8967.0
2010,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2011,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2012,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2013,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2014,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2015,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2016,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2017,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2018,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2019,Millionen EUR,Bruttoentwicklungsausgaben (ODA),…,,,
2020,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,58297.0
2021,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,54734.0
2022,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,52686.0
2023,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,57060.0
2010,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2011,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2012,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2013,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2014,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2015,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2016,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2017,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2018,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2019,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),…,,,
2020,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),,,,34896.0
2021,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),,,,41038.0
2022,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),,,,45861.0
2023,"Millionen USD, konstante Preise (2023)",Zusagen (ODA),,,,43418.0
2010,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2011,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2012,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2013,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2014,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2015,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2016,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2017,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2018,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2019,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),…,,,
2020,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,81779.0
2021,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,79189.0
2022,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,88512.0
2023,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,84618.0
