Year,Zeitreihe,Value
2010,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,2.57
2011,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,3.21
2012,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,4.01
2013,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,12.8
2014,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.07
2015,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.06
2016,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.08
2017,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,2.73
2018,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.09
2019,Zusagen (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.06
2010,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,3.5
2011,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,4.32
2012,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,2.33
2013,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,13.51
2014,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.14
2015,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.03
2016,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.07
2017,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.1
2018,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,0.62
2019,Bruttoausgaben (ODA und OOF) zum Ausbau statistischer Kapazitäten,1.01
