Year,Bevölkerung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Gesamtbevölkerung,.,,,
2011,Gesamtbevölkerung,.,,,
2012,Gesamtbevölkerung,.,,,
2013,Gesamtbevölkerung,.,,,
2014,Gesamtbevölkerung,.,,,
2015,Gesamtbevölkerung,.,,,
2016,Gesamtbevölkerung,.,,,
2017,Gesamtbevölkerung,.,,,
2018,Gesamtbevölkerung,.,,,
2019,Gesamtbevölkerung,.,,,
2020,Gesamtbevölkerung,.,,,
2021,Gesamtbevölkerung,,,,99.6
2022,Gesamtbevölkerung,,,,99.7
2023,Gesamtbevölkerung,,,,99.8
2024,Gesamtbevölkerung,,,,99.8
2010,Ärmsten 40 Prozent der Bevölkerung,.,,,
2011,Ärmsten 40 Prozent der Bevölkerung,.,,,
2012,Ärmsten 40 Prozent der Bevölkerung,.,,,
2013,Ärmsten 40 Prozent der Bevölkerung,.,,,
2014,Ärmsten 40 Prozent der Bevölkerung,.,,,
2015,Ärmsten 40 Prozent der Bevölkerung,.,,,
2016,Ärmsten 40 Prozent der Bevölkerung,.,,,
2017,Ärmsten 40 Prozent der Bevölkerung,.,,,
2018,Ärmsten 40 Prozent der Bevölkerung,.,,,
2019,Ärmsten 40 Prozent der Bevölkerung,.,,,
2020,Ärmsten 40 Prozent der Bevölkerung,.,,,
2021,Ärmsten 40 Prozent der Bevölkerung,,,,99.7
2022,Ärmsten 40 Prozent der Bevölkerung,,,,99.7
2023,Ärmsten 40 Prozent der Bevölkerung,,,,99.8
2024,Ärmsten 40 Prozent der Bevölkerung,,,,99.8
