Year,Themenbereich,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,,,,,87
2025,,,,,90
2019,1) Mutterschaftsvorsorge,r,,,69
2021,1) Mutterschaftsvorsorge,r,,,69
2025,1) Mutterschaftsvorsorge,,,,78
2019,2) Empfängnisverhütung und Familienplanung,,,,85
2021,2) Empfängnisverhütung und Familienplanung,,,,85
2025,2) Empfängnisverhütung und Familienplanung,,,,85
2021,3) Umfassende Sexualerziehung und Information,,,,100
2025,3) Umfassende Sexualerziehung und Information,,,,100
2019,4) HIV und HPV,,,,100
2021,4) HIV und HPV,,,,100
2025,4) HIV und HPV,,,,100
