Year,Units,Zeitreihe,Darstellung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,0.6
2011,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,0.1
2012,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,0.1
2013,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2014,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2015,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2016,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2017,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2018,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2019,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2020,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,0,|,,0.0
2021,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,.,,,
2022,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,.,,,
2023,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,.,,,
2010,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,1.6
2011,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,0.9
2012,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,0.9
2013,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,0.1
2014,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,0,,,0.0
2015,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,0.1
2016,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,0.1
2017,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,0.1
2018,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,0,,,0.0
2019,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,,,,0.2
2020,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,|,,,0.0
2021,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,.,,,
2022,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,.,,,
2023,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,.,,,
2010,Prozent,Flächennutzungssrate,Jährliche Werte,,,,1.7
2011,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.9
2012,Prozent,Flächennutzungssrate,Jährliche Werte,,,,1.0
2013,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.2
2014,Prozent,Flächennutzungssrate,Jährliche Werte,0,,,0.0
2015,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.1
2016,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.1
2017,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.1
2018,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.1
2019,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.2
2020,Prozent,Flächennutzungssrate,Jährliche Werte,|,,,0.0
2021,Prozent,Flächennutzungssrate,Jährliche Werte,.,,,
2022,Prozent,Flächennutzungssrate,Jährliche Werte,.,,,
2023,Prozent,Flächennutzungssrate,Jährliche Werte,.,,,
2010,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,1.6
2011,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.8
2012,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.9
2013,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.1
2014,Prozent,Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2015,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.1
2016,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.1
2017,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.1
2018,Prozent,Bevölkerungsentwicklung,Jährliche Werte,0,,,0.0
2019,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.3
2020,Prozent,Bevölkerungsentwicklung,Jährliche Werte,|,,,0.0
2021,Prozent,Bevölkerungsentwicklung,Jährliche Werte,.,,,
2022,Prozent,Bevölkerungsentwicklung,Jährliche Werte,.,,,
2023,Prozent,Bevölkerungsentwicklung,Jährliche Werte,.,,,
2010,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.2
2011,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.1
2012,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,3.9
2013,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.4
2014,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.4
2015,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.0
2016,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,3.9
2017,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.0
2018,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.4
2019,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,4.0
2020,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2021,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2022,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2023,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,7.1
2010,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,3.9
2011,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,3.9
2012,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,3.9
2013,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,4.5
2014,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,4.3
