Year,Zeitreihe,Verfügbarkeit,Value
2010,Toilette,Vorhanden,98.4
2011,Toilette,Vorhanden,99.1
2012,Toilette,Vorhanden,99.1
2013,Toilette,Vorhanden,99.9
2014,Toilette,Vorhanden,100.0
2015,Toilette,Vorhanden,99.9
2016,Toilette,Vorhanden,99.9
2017,Toilette,Vorhanden,99.9
2018,Toilette,Vorhanden,100.0
2019,Toilette,Vorhanden,99.8
2010,Badewanne oder Dusche,Vorhanden,99.5
2011,Badewanne oder Dusche,Vorhanden,99.9
2012,Badewanne oder Dusche,Vorhanden,99.9
2013,Badewanne oder Dusche,Vorhanden,100.0
2014,Badewanne oder Dusche,Vorhanden,100.0
2015,Badewanne oder Dusche,Vorhanden,100.0
2016,Badewanne oder Dusche,Vorhanden,100.0
2017,Badewanne oder Dusche,Vorhanden,100.0
2018,Badewanne oder Dusche,Vorhanden,100.0
2019,Badewanne oder Dusche,Vorhanden,100.0
2010,Toilette,Nicht vorhanden,1.6
2011,Toilette,Nicht vorhanden,0.9
2012,Toilette,Nicht vorhanden,0.9
2013,Toilette,Nicht vorhanden,0.1
2014,Toilette,Nicht vorhanden,0.0
2015,Toilette,Nicht vorhanden,0.1
2016,Toilette,Nicht vorhanden,0.1
2017,Toilette,Nicht vorhanden,0.1
2018,Toilette,Nicht vorhanden,0.0
2019,Toilette,Nicht vorhanden,0.2
2010,Badewanne oder Dusche,Nicht vorhanden,0.5
2011,Badewanne oder Dusche,Nicht vorhanden,0.1
2012,Badewanne oder Dusche,Nicht vorhanden,0.1
2013,Badewanne oder Dusche,Nicht vorhanden,0.0
2014,Badewanne oder Dusche,Nicht vorhanden,0.0
2015,Badewanne oder Dusche,Nicht vorhanden,0.0
2016,Badewanne oder Dusche,Nicht vorhanden,0.0
2017,Badewanne oder Dusche,Nicht vorhanden,0.0
2018,Badewanne oder Dusche,Nicht vorhanden,0.0
2019,Badewanne oder Dusche,Nicht vorhanden,0.0
